day,tron,bsc,ethereum,polygon,solana,arbitrum,base,celo,optimism,avalanche,ton,aptos,worldchain,stellar,sui,plasma,linea,hyperevm,stable,codex,total
2017-11-01,0,0,4.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.000000
2017-12-01,0,0,9.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.000000
2018-01-01,0,0,126.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.000000
2018-02-01,0,0,382.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.000000
2018-03-01,0,0,336.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.000000
2018-04-01,0,0,798.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798.000000
2018-05-01,0,0,1045.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045.000000
2018-06-01,0,0,1523.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523.000000
2018-07-01,0,0,2113.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2113.000000
2018-08-01,0,0,1081.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081.000000
2018-09-01,0,0,1914.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1914.000000
2018-10-01,0,0,5357.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5357.000000
2018-11-01,0,0,14202.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14202.000000
2018-12-01,0,0,21000.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000.000000
2019-01-01,0,0,23833.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23833.000000
2019-02-01,0,0,22889.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22889.000000
2019-03-01,0,0,24883.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24883.000000
2019-04-01,464.000000,0,43221.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43685.000000
2019-05-01,1309.000000,0,99654.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100963.000000
2019-06-01,1241.000000,0,173951.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175192.000000
2019-07-01,3218.000000,0,316414.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319632.000000
2019-08-01,2776.000000,0,565951.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568727.000000
2019-09-01,1393.000000,0,711497.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712890.000000
2019-10-01,8160.000000,0,625628.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633788.000000
