day,USDT,USDC,USDP,PYUSD,EURC,FDUSD,MUSD,USDTB,USDG,EURS,USDH,RLUSD,EURCV,total
2017-11-01,4.000000,0,0,0,0,0,0,0,0,0,0,0,0,4.000000
2017-12-01,9.000000,0,0,0,0,0,0,0,0,0,0,0,0,9.000000
2018-01-01,126.000000,0,0,0,0,0,0,0,0,0,0,0,0,126.000000
2018-02-01,382.000000,0,0,0,0,0,0,0,0,0,0,0,0,382.000000
2018-03-01,336.000000,0,0,0,0,0,0,0,0,0,0,0,0,336.000000
2018-04-01,798.000000,0,0,0,0,0,0,0,0,0,0,0,0,798.000000
2018-05-01,1045.000000,0,0,0,0,0,0,0,0,0,0,0,0,1045.000000
2018-06-01,1409.000000,0,0,0,0,0,0,0,0,116.000000,0,0,0,1525.000000
2018-07-01,1909.000000,0,0,0,0,0,0,0,0,208.000000,0,0,0,2117.000000
2018-08-01,938.000000,0,0,0,0,0,0,0,0,148.000000,0,0,0,1086.000000
2018-09-01,1447.000000,75.000000,221.000000,0,0,0,0,0,0,186.000000,0,0,0,1929.000000
2018-10-01,1129.000000,945.000000,2772.000000,0,0,0,0,0,0,591.000000,0,0,0,5437.000000
2018-11-01,1347.000000,7602.000000,3092.000000,0,0,0,0,0,0,2378.000000,0,0,0,14419.000000
2018-12-01,1670.000000,14902.000000,2267.000000,0,0,0,0,0,0,2470.000000,0,0,0,21309.000000
2019-01-01,1203.000000,16855.000000,5389.000000,0,0,0,0,0,0,729.000000,0,0,0,24176.000000
2019-02-01,1125.000000,17691.000000,3741.000000,0,0,0,0,0,0,709.000000,0,0,0,23266.000000
2019-03-01,2556.000000,20290.000000,1985.000000,0,0,0,0,0,0,473.000000,0,0,0,25304.000000
2019-04-01,13234.000000,28067.000000,2548.000000,0,0,0,0,0,0,517.000000,0,0,0,44366.000000
2019-05-01,35635.000000,50782.000000,14894.000000,0,0,0,0,0,0,634.000000,0,0,0,101945.000000
2019-06-01,103591.000000,53900.000000,18097.000000,0,0,0,0,0,0,725.000000,0,0,0,176313.000000
2019-07-01,256430.000000,46465.000000,18961.000000,0,0,0,0,0,0,471.000000,0,0,0,322327.000000
2019-08-01,512386.000000,38895.000000,19922.000000,0,0,0,0,0,0,387.000000,0,0,0,571590.000000
2019-09-01,661490.000000,37516.000000,16385.000000,0,0,0,0,0,0,452.000000,0,0,0,715843.000000
2019-10-01,573713.000000,43679.000000,18821.000000,0,0,0,0,0,0,876.000000,0,0,0,637089.000000
2019-11-01,581470.000000,43128.000000,22712.000000,0,0,0,0,0,0,426.000000,0,0,0,647736.000000
2019-12-01,570589.000000,41966.000000,28211.000000,0,0,0,0,0,0,405.000000,0,0,0,641171.000000
2020-01-01,517109.000000,53216.000000,49851.000000,0,0,0,0,0,0,428.000000,0,0,0,620604.000000
2020-02-01,666578.000000,70916.000000,75968.000000,0,0,0,0,0,0,633.000000,0,0,0,814095.000000
2020-03-01,975738.000000,93934.000000,135451.000000,0,0,0,0,0,0,1080.000000,0,0,0,1206203.000000
2020-04-01,1248026.000000,93020.000000,210910.000000,0,0,0,0,0,0,778.000000,0,0,0,1552734.000000
2020-05-01,1629840.000000,113919.000000,312660.000000,0,0,0,0,0,0,522.000000,0,0,0,2056941.000000
2020-06-01,2317707.000000,127610.000000,204775.000000,0,0,0,0,0,0,459.000000,0,0,0,2650551.000000
2020-07-01,1962361.000000,159448.000000,84496.000000,0,0,0,0,0,0,496.000000,0,0,0,2206801.000000
2020-08-01,2354576.000000,217281.000000,22816.000000,0,0,0,0,0,0,478.000000,0,0,0,2595151.000000
2020-09-01,2367609.000000,198447.000000,13605.000000,0,0,0,0,0,0,344.000000,0,0,0,2580005.000000
2020-10-01,2622061.000000,405406.000000,20383.000000,0,0,0,0,0,0,436.000000,0,0,0,3048286.000000
2020-11-01,2413435.000000,727922.000000,52189.000000,0,0,0,0,0,0,604.000000,0,0,0,3194150.000000
2020-12-01,2471216.000000,475965.000000,33168.000000,0,0,0,0,0,0,807.000000,0,0,0,2981156.000000
2021-01-01,2812134.000000,434598.000000,26223.000000,0,0,0,0,0,0,1254.000000,0,0,0,3274209.000000
