day,supply
2019-01-01,531542156.800015
2019-02-01,442536041.920015
2019-03-01,460852369.920015
2019-04-01,1029060776.040015
2019-05-01,1224538777.630015
2019-06-01,1605874033.880015
2019-07-01,2272003314.010015
2019-08-01,2353512475.910015
2019-09-01,2814543028.066837
2019-10-01,3605637291.236837
2019-11-01,3613630042.813247
2019-12-01,3996331873.154247
2020-01-01,3919318009.882981
2020-02-01,3997714451.437440
2020-03-01,5979401748.485126
2020-04-01,7780641633.577495
2020-05-01,9134894621.399685
2020-06-01,10184403978.737061
2020-07-01,11221351531.538433
2020-08-01,14153675511.047487
2020-09-01,17294895859.587112
2020-10-01,19206412228.122871
2020-11-01,21627313836.371223
2020-12-01,24373369841.373646
2021-01-01,32488379992.419151
2021-02-01,44623732969.439705
2021-03-01,53274415892.900330
2021-04-01,68158167975.966690
2021-05-01,87232674992.222641
2021-06-01,89268829834.252228
2021-07-01,91647032759.527618
2021-08-01,94772773979.108246
2021-09-01,103581424667.806671
2021-10-01,105117397189.560242
2021-11-01,115749656621.032990
2021-12-01,125440304597.093231
2022-01-01,129976523146.507004
2022-02-01,135422397339.936691
2022-03-01,137205142998.641296
2022-04-01,135267809045.155807
2022-05-01,133652150159.294083
2022-06-01,124393293919.812439
2022-07-01,123156725540.009430
2022-08-01,122313243628.477798
2022-09-01,119078565777.533981
2022-10-01,118356866428.791016
2022-11-01,119772210941.755539
2022-12-01,121439767408.314301
2023-01-01,119473063924.165924
2023-02-01,120362734153.218872
2023-03-01,119652178444.932678
2023-04-01,119992195527.131134
2023-05-01,119327592769.798798
2023-06-01,117451553544.209961
2023-07-01,117121847690.674683
2023-08-01,116009148076.895996
2023-09-01,116007094094.463776
2023-10-01,117076563954.343567
2023-11-01,122187606803.615417
2023-12-01,124682907591.560211
2024-01-01,132418362318.241425
2024-02-01,133389231781.450134
2024-03-01,142375795633.699524
2024-04-01,150206585926.235352
2024-05-01,150562608097.891632
2024-06-01,150780985435.550354
2024-07-01,153297013349.796722
2024-08-01,159135013758.211823
2024-09-01,161196935844.193390
2024-10-01,160962968878.544067
2024-11-01,181038194877.735138
2024-12-01,189802857507.642914
2025-01-01,200259822841.711365
2025-02-01,204376226604.868469
2025-03-01,215049107517.653961
2025-04-01,219196308480.307129
2025-05-01,223176587497.594604
2025-06-01,227658692060.664856
2025-07-01,238410911091.126831
2025-08-01,251399050356.137390
2025-09-01,262129013300.388885
2025-10-01,271316103765.835205
2025-11-01,274337685155.899536
2025-12-01,274625060720.109131
2026-01-01,268692039587.647247
2026-02-01,273617458641.409698
2026-03-01,275456913608.872131
2026-04-01,278291679944.935669
2026-05-01,275793159177.804504
2026-06-01,274755520502.948822
