day,PYUSD,total
2022-11-01,15.000000,15.000000
2023-01-01,28.000000,28.000000
2023-02-01,11.000000,11.000000
2023-03-01,36.000000,36.000000
2023-06-01,9.000000,9.000000
2023-07-01,3.000000,3.000000
2023-08-01,599.000000,599.000000
2023-09-01,1276.000000,1276.000000
2023-10-01,1694.000000,1694.000000
2023-11-01,2114.000000,2114.000000
2023-12-01,4521.000000,4521.000000
2024-01-01,2964.000000,2964.000000
2024-02-01,3320.000000,3320.000000
2024-03-01,4559.000000,4559.000000
2024-04-01,5264.000000,5264.000000
2024-05-01,6599.000000,6599.000000
2024-06-01,9412.000000,9412.000000
2024-07-01,19188.000000,19188.000000
2024-08-01,30572.000000,30572.000000
