day,ethereum,solana,total
2022-11-01,1100336.220000,0,1100336.220000
2022-12-01,1100336.220000,0,1100336.220000
2023-01-01,1100337.220000,0,1100337.220000
2023-02-01,2000000.000000,0,2000000.000000
2023-03-01,2000000.000000,0,2000000.000000
2023-04-01,2000000.000000,0,2000000.000000
2023-05-01,2000000.000000,0,2000000.000000
2023-06-01,2000000.000000,0,2000000.000000
2023-07-01,2000000.000000,0,2000000.000000
2023-08-01,44376440.450000,0,44376440.450000
2023-09-01,94396540.450000,0,94396540.450000
2023-10-01,158956937.450000,0,158956937.450000
2023-11-01,156753068.360000,0,156753068.360000
2023-12-01,264531845.820000,0,264531845.820000
2024-01-01,301175241.400000,0,301175241.400000
2024-02-01,304427933.120000,0,304427933.120000
2024-03-01,188485923.630000,0,188485923.630000
2024-04-01,328083102.620000,15.000000,328083117.620000
2024-05-01,399102730.390000,45000293.020000,444103023.410000
2024-06-01,424274077.960000,75213486.522397,499487564.482397
2024-07-01,352025781.310000,273388777.967788,625414559.277788
2024-08-01,346339142.720000,561825564.866368,908164707.586368
