day,Other (Adjusted),Centralized Exchange,Decentralized Exchange,Other Categorized,total
2017-11-01,3.000000,4.000000,0,0,7.000000
2017-12-01,18.000000,5.000000,0,0,23.000000
2018-01-01,135.000000,202.000000,0,0,337.000000
2018-02-01,381.000000,604.000000,0,0,985.000000
2018-03-01,518.000000,572.000000,0,0,1090.000000
2018-04-01,1093.000000,1083.000000,0,0,2176.000000
2018-05-01,1623.000000,1015.000000,0,0,2638.000000
2018-06-01,1619.000000,899.000000,0,0,2518.000000
2018-07-01,2383.000000,839.000000,0,0,3222.000000
2018-08-01,1708.000000,872.000000,0,0,2580.000000
2018-09-01,4009.000000,1117.000000,0,0,5126.000000
2018-10-01,5846.000000,2917.000000,29.000000,1.000000,8793.000000
2018-11-01,21480.000000,9403.000000,16.000000,1.000000,30900.000000
2018-12-01,36218.000000,12380.000000,41.000000,7.000000,48646.000000
2019-01-01,41118.000000,12564.000000,85.000000,14.000000,53781.000000
2019-02-01,38980.000000,11338.000000,63.000000,189.000000,50570.000000
2019-03-01,44122.000000,13905.000000,22.000000,513.000000,58562.000000
2019-04-01,78289.000000,39374.000000,144.000000,748.000000,118555.000000
2019-05-01,160176.000000,79308.000000,137.000000,2084.000000,241705.000000
2019-06-01,300523.000000,166586.000000,152.000000,4029.000000,471290.000000
2019-07-01,515558.000000,376552.000000,365.000000,7437.000000,899912.000000
2019-08-01,1372268.000000,679756.000000,652.000000,21326.000000,2074002.000000
2019-09-01,2768817.000000,733175.000000,1110.000000,15958.000000,3519060.000000
2019-10-01,1393557.000000,662997.000000,907.000000,10282.000000,2067743.000000
2019-11-01,1473570.000000,780344.000000,1263.000000,11447.000000,2266624.000000
2019-12-01,1250169.000000,753796.000000,1649.000000,10693.000000,2016307.000000
2020-01-01,1192004.000000,622050.000000,3056.000000,12688.000000,1829798.000000
2020-02-01,1523937.000000,964633.000000,4700.000000,22481.000000,2515751.000000
2020-03-01,2124786.000000,1269388.000000,10061.000000,40605.000000,3444840.000000
2020-04-01,2673055.000000,1377347.000000,8156.000000,40100.000000,4098658.000000
2020-05-01,3455085.000000,1712150.000000,8244.000000,32323.000000,5207802.000000
2020-06-01,4322163.000000,1971280.000000,23250.000000,39120.000000,6355813.000000
2020-07-01,4365942.000000,2192128.000000,50976.000000,40741.000000,6649787.000000
2020-08-01,4502320.000000,3080238.000000,163381.000000,40802.000000,7786741.000000
2020-09-01,5182023.000000,2914770.000000,946305.000000,69803.000000,9112901.000000
2020-10-01,7239687.000000,2632633.000000,566736.000000,79088.000000,10518144.000000
2020-11-01,7149754.000000,3014293.000000,378941.000000,87059.000000,10630047.000000
2020-12-01,6853346.000000,3304340.000000,443704.000000,84047.000000,10685437.000000
2021-01-01,7814005.000000,4094950.000000,602238.000000,120685.000000,12631878.000000
2021-02-01,9885433.000000,5582250.000000,497880.000000,158695.000000,16124258.000000
2021-03-01,11041886.000000,6971834.000000,561002.000000,142287.000000,18717009.000000
2021-04-01,14473427.000000,8945748.000000,777417.000000,300980.000000,24497572.000000
2021-05-01,19547437.000000,12082731.000000,891038.000000,506927.000000,33028133.000000
2021-06-01,16693354.000000,6657277.000000,1017837.000000,552041.000000,24920509.000000
2021-07-01,15815009.000000,6196934.000000,1040012.000000,358255.000000,23410210.000000
2021-08-01,19357038.000000,8387296.000000,1226244.000000,354408.000000,29324986.000000
2021-09-01,22066453.000000,9176836.000000,1888400.000000,504273.000000,33635962.000000
2021-10-01,25620642.000000,11731047.000000,2416967.000000,838099.000000,40606755.000000
2021-11-01,32077616.000000,16092886.000000,2287648.000000,840075.000000,51298225.000000
2021-12-01,28968090.000000,13799201.000000,2138194.000000,854219.000000,45759704.000000
2022-01-01,26956009.000000,12489159.000000,1308967.000000,475658.000000,41229793.000000
2022-02-01,25644374.000000,10618226.000000,1302722.000000,409007.000000,37974329.000000
2022-03-01,29673590.000000,11562662.000000,1310586.000000,435228.000000,42982066.000000
2022-04-01,33284533.000000,12647070.000000,1293928.000000,445153.000000,47670684.000000
2022-05-01,37525870.000000,13944929.000000,2068327.000000,718965.000000,54258091.000000
2022-06-01,33560727.000000,11493303.000000,1999366.000000,580309.000000,47633705.000000
2022-07-01,33544765.000000,10781605.000000,1861090.000000,488553.000000,46676013.000000
2022-08-01,33908285.000000,10872563.000000,1754341.000000,521209.000000,47056398.000000
2022-09-01,33182976.000000,10849546.000000,2051044.000000,541301.000000,46624867.000000
2022-10-01,41484146.000000,11047167.000000,1930928.000000,621894.000000,55084135.000000
2022-11-01,57176257.000000,11572205.000000,3182563.000000,1238973.000000,73169998.000000
2022-12-01,62518900.000000,10244982.000000,1936585.000000,1367229.000000,76067696.000000
2023-01-01,56482752.000000,10732080.000000,2273417.000000,1128785.000000,70617034.000000
2023-02-01,46104572.000000,11574823.000000,2365735.000000,681246.000000,60726376.000000
2023-03-01,53155566.000000,14035820.000000,3028143.000000,845713.000000,71065242.000000
2023-04-01,59018720.000000,14727806.000000,3161036.000000,926929.000000,77834491.000000
2023-05-01,67008494.000000,15116800.000000,3202132.000000,877596.000000,86205022.000000
2023-06-01,57515832.000000,13705446.000000,3861489.000000,856576.000000,75939343.000000
2023-07-01,56216530.000000,14827429.000000,3795755.000000,1079152.000000,75918866.000000
2023-08-01,56676377.000000,14776021.000000,3264367.000000,688540.000000,75405305.000000
2023-09-01,55166481.000000,13947276.000000,2258118.000000,608428.000000,71980303.000000
2023-10-01,54492958.000000,15758148.000000,2960552.000000,725777.000000,73937435.000000
2023-11-01,52331032.000000,18259220.000000,3950768.000000,763617.000000,75304637.000000
2023-12-01,57453198.000000,21003466.000000,4483922.000000,959373.000000,83899959.000000
2024-01-01,57355195.000000,20036213.000000,4770071.000000,1186758.000000,83348237.000000
2024-02-01,52644435.000000,20406820.000000,3955044.000000,1286367.000000,78292666.000000
2024-03-01,72884355.000000,29749989.000000,7109269.000000,1590089.000000,111333702.000000
2024-04-01,69238272.000000,24983629.000000,8263008.000000,1853680.000000,104338589.000000
2024-05-01,68600982.000000,24205672.000000,6414074.000000,1406244.000000,100626972.000000
2024-06-01,71206975.000000,22831337.000000,5677897.000000,1404787.000000,101120996.000000
2024-07-01,74831198.000000,21405149.000000,7134948.000000,1845749.000000,105217044.000000
2024-08-01,74122766.000000,22552053.000000,8555712.000000,2101456.000000,107331987.000000
