day,ethereum,arbitrum,optimism,base,total
2017-11-01,9.000000,0,0,0,9.000000
2017-12-01,26.000000,0,0,0,26.000000
2018-01-01,396.000000,0,0,0,396.000000
2018-02-01,1114.000000,0,0,0,1114.000000
2018-03-01,1286.000000,0,0,0,1286.000000
2018-04-01,2279.000000,0,0,0,2279.000000
2018-05-01,2730.000000,0,0,0,2730.000000
2018-06-01,3335.000000,0,0,0,3335.000000
2018-07-01,5490.000000,0,0,0,5490.000000
2018-08-01,3126.000000,0,0,0,3126.000000
2018-09-01,6309.000000,0,0,0,6309.000000
2018-10-01,13348.000000,0,0,0,13348.000000
2018-11-01,44519.000000,0,0,0,44519.000000
2018-12-01,68528.000000,0,0,0,68528.000000
2019-01-01,66741.000000,0,0,0,66741.000000
2019-02-01,62751.000000,0,0,0,62751.000000
2019-03-01,72106.000000,0,0,0,72106.000000
2019-04-01,135011.000000,0,0,0,135011.000000
2019-05-01,275914.000000,0,0,0,275914.000000
2019-06-01,558795.000000,0,0,0,558795.000000
2019-07-01,1069207.000000,0,0,0,1069207.000000
2019-08-01,2335136.000000,0,0,0,2335136.000000
2019-09-01,3945838.000000,0,0,0,3945838.000000
2019-10-01,2632985.000000,0,0,0,2632985.000000
2019-11-01,2803311.000000,0,0,0,2803311.000000
2019-12-01,2436150.000000,0,0,0,2436150.000000
2020-01-01,2200109.000000,0,0,0,2200109.000000
2020-02-01,3011996.000000,0,0,0,3011996.000000
2020-03-01,4219923.000000,0,0,0,4219923.000000
2020-04-01,5118228.000000,0,0,0,5118228.000000
2020-05-01,6460372.000000,0,0,0,6460372.000000
2020-06-01,7666439.000000,0,0,0,7666439.000000
2020-07-01,7622866.000000,0,0,0,7622866.000000
2020-08-01,7941573.000000,0,0,0,7941573.000000
2020-09-01,7106568.000000,0,0,0,7106568.000000
2020-10-01,8687391.000000,0,0,0,8687391.000000
2020-11-01,8778363.000000,0,0,0,8778363.000000
2020-12-01,8432467.000000,0,0,0,8432467.000000
2021-01-01,8340755.000000,0,0,0,8340755.000000
2021-02-01,6328109.000000,0,0,0,6328109.000000
2021-03-01,6454846.000000,0,0,0,6454846.000000
2021-04-01,7116278.000000,0,0,0,7116278.000000
2021-05-01,7779398.000000,0,0,0,7779398.000000
2021-06-01,7003057.000000,18.000000,0,0,7003075.000000
2021-07-01,6366602.000000,110.000000,0,0,6366712.000000
2021-08-01,5838455.000000,364.000000,0,0,5838819.000000
2021-09-01,5389475.000000,499241.000000,0,0,5888716.000000
2021-10-01,5545105.000000,355699.000000,0,0,5900804.000000
2021-11-01,5821352.000000,241329.000000,75181.000000,0,6137862.000000
2021-12-01,5281034.000000,255749.000000,144965.000000,0,5681748.000000
2022-01-01,4288567.000000,348038.000000,96675.000000,0,4733280.000000
2022-02-01,3532888.000000,378733.000000,90869.000000,0,4002490.000000
2022-03-01,4511319.000000,485756.000000,174476.000000,0,5171551.000000
2022-04-01,4013293.000000,567225.000000,293810.000000,0,4874328.000000
2022-05-01,5083254.000000,1185978.000000,472518.000000,0,6741750.000000
2022-06-01,4453705.000000,1377125.000000,3838462.000000,0,9669292.000000
2022-07-01,4931827.000000,1150842.000000,4955967.000000,0,11038636.000000
2022-08-01,5203634.000000,1518940.000000,8185076.000000,0,14907650.000000
2022-09-01,5192685.000000,2454734.000000,6096150.000000,0,13743569.000000
2022-10-01,5103927.000000,3246113.000000,5081280.000000,0,13431320.000000
2022-11-01,6753413.000000,6081258.000000,10135672.000000,0,22970343.000000
2022-12-01,6830784.000000,4094746.000000,8626809.000000,0,19552339.000000
2023-01-01,7107343.000000,3823867.000000,9720098.000000,0,20651308.000000
2023-02-01,8393117.000000,6778389.000000,5900791.000000,0,21072297.000000
2023-03-01,7970542.000000,13291709.000000,7390658.000000,0,28652909.000000
2023-04-01,5189719.000000,12989997.000000,4855672.000000,0,23035388.000000
2023-05-01,4656373.000000,10774249.000000,3220468.000000,0,18651090.000000
2023-06-01,5170859.000000,11186139.000000,4431175.000000,0,20788173.000000
2023-07-01,5118501.000000,10104251.000000,5780282.000000,0,21003034.000000
2023-08-01,5124810.000000,8094800.000000,5846208.000000,72.000000,19065890.000000
2023-09-01,4900138.000000,6112858.000000,3523478.000000,161897.000000,14698371.000000
2023-10-01,6032520.000000,7340611.000000,2725063.000000,655133.000000,16753327.000000
2023-11-01,6219242.000000,9109365.000000,3114128.000000,672661.000000,19115396.000000
2023-12-01,6782697.000000,9581857.000000,4262674.000000,1153537.000000,21780765.000000
2024-01-01,6991391.000000,11684631.000000,4428686.000000,1377616.000000,24482324.000000
2024-02-01,5991545.000000,9541185.000000,4021151.000000,1916901.000000,21470782.000000
2024-03-01,7275051.000000,18738974.000000,6450749.000000,4201578.000000,36666352.000000
2024-04-01,7290724.000000,32870027.000000,9261207.000000,10430760.000000,59852718.000000
2024-05-01,7416849.000000,21861888.000000,9300818.000000,9054721.000000,47634276.000000
2024-06-01,6887255.000000,18925053.000000,7257311.000000,12180248.000000,45249867.000000
2024-07-01,7346472.000000,25166541.000000,7254880.000000,12697961.000000,52465854.000000
2024-08-01,8603901.000000,27178978.000000,9760219.000000,14519120.000000,60062218.000000
