day,Other (Adjusted),Centralized Exchange,Decentralized Exchange,Other Categorized,total
2017-11-01,130.000000,130.000000,0,0,260.000000
2017-12-01,346.485843,338.000000,0,0,684.485843
2018-01-01,4555999.782185,47779346.084289,0,0,52335345.866474
2018-02-01,17625465.807682,40781461.246666,0,0,58406927.054348
2018-03-01,15748133.113206,35805518.342190,0,0,51553651.455396
2018-04-01,25134966.787789,46125843.255500,0,0,71260810.043289
2018-05-01,23735559.800949,31019711.662542,0,0,54755271.463491
2018-06-01,29054429.118786,37965639.806437,0,0,67020068.925223
2018-07-01,34759938.171461,23246824.123249,0,0,58006762.294710
2018-08-01,24893571.082232,13684961.008940,0,0,38578532.091172
2018-09-01,29553305.343957,37932785.352655,0,0,67486090.696612
2018-10-01,189358169.567068,226106769.768232,18084580.000000,2.029758,433549521.365059
2018-11-01,303828645.140119,541128507.952318,8309986.981207,1.159862,853267141.233506
2018-12-01,502563681.211424,737032602.129417,20963910.466750,18620.412949,1260578814.220541
2019-01-01,708095605.579702,898412518.829369,60731096.000000,33946.696628,1667273167.105699
2019-02-01,380679052.853535,418346591.429090,32612021.247829,890180.988642,832527846.519096
2019-03-01,314680184.931222,325723864.971368,6289664.668788,2070315.736123,648764030.307500
2019-04-01,1077299173.005518,1326206092.882036,68421855.709100,139440472.691252,2611367594.287905
2019-05-01,1457976547.381965,2267361695.642827,60999372.039363,9324039.887205,3795661654.951361
2019-06-01,2154012073.998113,2997560217.724771,61744022.623270,21801060.484105,5235117374.830258
2019-07-01,4347697027.739679,5671711981.287418,79232177.808285,5115887188.238551,15214528375.073933
2019-08-01,5595337800.508640,5940190941.544292,220084956.059359,62424101.806353,11818037799.918644
2019-09-01,6977693337.162040,6468343720.508142,348604195.412221,63061479.625182,13857702732.707584
2019-10-01,7611839541.881295,9367993151.650108,245719313.736055,792487259.110035,18018039266.377495
2019-11-01,8034154738.521963,8560485300.073195,409829356.761804,107895885.466513,17112365280.823475
2019-12-01,7750288831.530869,6593424037.372585,598884563.312855,117764647.825237,15060362080.041546
2020-01-01,7026074850.789948,6874240671.379448,727012215.847118,104157562.938224,14731485300.954737
2020-02-01,8007169995.825842,9198163150.774170,680095429.626969,251028216.209479,18136456792.436462
2020-03-01,11683272510.081783,12762988319.012297,1871930782.987662,474267204.161818,26792458816.243561
2020-04-01,11556978674.173599,10513106804.761497,1826153357.085698,841440619.034029,24737679455.054825
2020-05-01,14279332992.330318,12101575347.345732,1595011247.745658,2685763951.013455,30661683538.435162
2020-06-01,17436904806.699768,13428396345.820553,2455716561.775710,2273739671.147208,35594757385.443237
2020-07-01,20914080207.376347,18584063148.551956,3146780221.339661,3993785347.115932,46638708924.383896
2020-08-01,27242242527.221249,26473331808.007290,3870339754.566867,6524561424.922828,64110475514.718231
2020-09-01,39517009540.898033,29912454805.316650,9527409670.074945,7356329879.430655,86313203895.720291
2020-10-01,32370098648.078243,22856698205.103870,6037168582.122228,5133848123.944563,66397813559.248909
2020-11-01,34898379744.476631,29469195478.371693,7292360002.894154,6762057284.648890,78421992510.391373
2020-12-01,41789618943.726440,36940191251.652336,6854579080.568213,6800055573.314861,92384444849.261856
2021-01-01,56661436010.177277,68582700809.063797,14435645380.881725,19742210902.541000,159421993102.663818
2021-02-01,62695239087.500465,88715290954.831909,16155285267.559681,26196620278.229599,193762435588.121643
2021-03-01,80580936583.516693,97726590019.245850,16212249905.850262,22607843289.465744,217127619798.078552
