day,base,total
2023-08-01,633.480000,633.480000
2023-09-01,1510220907.948773,1510220907.948773
2023-10-01,1213305509.782002,1213305509.782002
2023-11-01,843385283.581183,843385283.581183
2023-12-01,1931988485.829476,1931988485.829476
2024-01-01,2342390723.743214,2342390723.743214
2024-02-01,2058961452.666427,2058961452.666427
2024-03-01,11749367219.198439,11749367219.198439
2024-04-01,23122119684.144257,23122119684.144257
2024-05-01,20779088194.043625,20779088194.043625
2024-06-01,53881598235.508682,53881598235.508682
2024-07-01,79782718305.081680,79782718305.081680
2024-08-01,88818616081.674728,88818616081.674728
