date,ethereum,avalanche,base,bsc,polygon,solana,arbitrum,plasma,optimism,linea,hyperevm,monad,ink,celo,zksync,sonic,scroll,worldchain,gnosis,soneium,stable,x_layer,total
2019-05-01,577327.009177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577327.009177
2019-06-01,3009294.022177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3009294.022177
2019-07-01,15835960.677680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15835960.677680
2019-08-01,11218642.249982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11218642.249982
2019-09-01,3560434.618849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3560434.618849
2019-10-01,3565768.929479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3565768.929479
2019-11-01,4672024.071722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4672024.071722
2019-12-01,9647196.655560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9647196.655560
2020-01-01,8589074.042939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8589074.042939
2020-02-01,15312851.578721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15312851.578721
2020-03-01,16268719.890382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16268719.890382
2020-04-01,5510335.786919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5510335.786919
2020-05-01,9690244.248268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9690244.248268
2020-06-01,369710229.655032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369710229.655032
2020-07-01,792382288.458024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792382288.458024
2020-08-01,511028237.774083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.024868,0,0,0,511028347.798951
2020-09-01,609764418.613718,0,0,71839952.538056,5094915.852632,0,0,0,0,0,0,0,0,0,0,0,0,0,3731.830314,0,0,0,686703018.834720
2020-10-01,617980579.399204,0,0,7340666.700674,34306493.844618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659627739.944496
2020-11-01,1207546774.638962,0,0,52315314.546263,29098.832311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1259891188.017535
2020-12-01,1225822813.084206,0,0,122368303.625439,4054.627781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1348195171.337426
2021-01-01,3754229921.931394,0,0,873114774.565166,9281.540392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4627353978.036952
2021-02-01,4733551711.800444,0,0,14195858.419540,38803.172742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4747786373.392726
2021-03-01,3853014790.318074,0,0,17139701.872276,1230807.654572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3871385299.844921
2021-04-01,7759778282.555724,0,0,143862620.749398,881272637.312267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8784913540.617390
2021-05-01,11754008838.164438,0,0,2355359548.803639,8017562152.117378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22126930539.085457
2021-06-01,7237941938.581692,0,0,325936607.055167,5573700641.484670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13137579187.121529
2021-07-01,7149932183.801500,0,0,410681403.668980,2166713351.833070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9727326939.303551
2021-08-01,7433385101.891641,304041633.366452,0,352462050.978450,2567366631.882662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10657255418.119205
2021-09-01,5934490265.463012,1178832367.704818,0,392085172.945252,2338961684.478436,0,6828131.201444,0,0,0,0,0,0,0,0,0,0,0,2558.059147,0,0,0,9851200179.852110
2021-10-01,6380650927.894334,10327091946.248255,0,877339479.742496,1392275384.868078,0,26007765.598028,0,0,0,0,0,0,0,0,0,0,0,135443.029208,0,0,0,19003500947.380398
2021-11-01,4139983390.326075,14759227351.795593,0,979587448.961622,1406087484.996606,0,3732923.052698,0,0,0,0,0,0,0,0,0,0,0,837424.264625,0,0,0,21289456023.397221
2021-12-01,2753761322.460470,8005763800.347355,0,2768859914.850275,2078892240.053869,0,10038913.387731,0,0,0,0,0,0,0,0,0,0,0,156647.343663,0,0,0,15617472838.443363
2022-01-01,3031998296.237696,3171624170.811686,0,1699868319.429803,1309327417.426069,0,12324850.549103,0,0,0,0,0,0,0,0,0,0,0,1208430.769413,0,0,0,9226351485.223768
