date,USDC,USDT,PYUSD,RLUSD,USDG,USDTB,FDUSD,USDH,USDP,total
2019-05-01,577327.009177,0,0,0,0,0,0,0,0,577327.009177
2019-06-01,3009294.022177,0,0,0,0,0,0,0,0,3009294.022177
2019-07-01,15835960.677680,0,0,0,0,0,0,0,0,15835960.677680
2019-08-01,11218642.249982,0,0,0,0,0,0,0,0,11218642.249982
2019-09-01,3560434.618849,0,0,0,0,0,0,0,0,3560434.618849
2019-10-01,3565768.929479,0,0,0,0,0,0,0,0,3565768.929479
2019-11-01,4672024.071722,0,0,0,0,0,0,0,0,4672024.071722
2019-12-01,9647196.655560,0,0,0,0,0,0,0,0,9647196.655560
2020-01-01,7216925.250051,1372148.792888,0,0,0,0,0,0,0,8589074.042939
2020-02-01,11357930.425447,3954921.153275,0,0,0,0,0,0,0,15312851.578721
2020-03-01,15431211.801764,837508.088618,0,0,0,0,0,0,0,16268719.890382
2020-04-01,4867876.025363,642459.761555,0,0,0,0,0,0,0,5510335.786919
2020-05-01,6581048.975899,3109195.272369,0,0,0,0,0,0,0,9690244.248268
2020-06-01,85818834.715025,283891394.940007,0,0,0,0,0,0,0,369710229.655032
2020-07-01,661767717.597549,130614570.860475,0,0,0,0,0,0,0,792382288.458024
2020-08-01,310259206.747272,200769141.051678,0,0,0,0,0,0,0,511028347.798951
2020-09-01,372508457.076950,314194561.757770,0,0,0,0,0,0,0,686703018.834720
2020-10-01,458754990.916061,200872749.028436,0,0,0,0,0,0,0,659627739.944496
2020-11-01,931220907.220319,328670280.797216,0,0,0,0,0,0,0,1259891188.017535
2020-12-01,904614897.659272,443580273.678154,0,0,0,0,0,0,0,1348195171.337425
2021-01-01,3167748619.759241,1459605358.277712,0,0,0,0,0,0,0,4627353978.036952
2021-02-01,3819999415.475164,927786957.917559,0,0,0,0,0,0,0,4747786373.392723
2021-03-01,2919428228.296406,951957071.548516,0,0,0,0,0,0,0,3871385299.844922
2021-04-01,6946874720.587293,1838038820.030101,0,0,0,0,0,0,0,8784913540.617393
2021-05-01,16147120381.455721,5979810157.629721,0,0,0,0,0,0,0,22126930539.085442
2021-06-01,9940096495.824659,3197482691.296865,0,0,0,0,0,0,0,13137579187.121525
2021-07-01,7798104025.021557,1924167134.522359,0,0,0,0,0,0,5055779.759639,9727326939.303556
2021-08-01,7205474414.835336,3449261356.037047,0,0,0,0,0,0,2519647.246816,10657255418.119200
2021-09-01,7108699751.405569,2735762772.723986,0,0,0,0,0,0,6737655.722552,9851200179.852106
2021-10-01,12470718268.774874,6525971295.529478,0,0,0,0,0,0,6811383.076057,19003500947.380409
2021-11-01,13742556599.715353,7538117342.339403,0,0,0,0,0,0,8782081.342464,21289456023.397221
2021-12-01,9710522922.795872,5905572511.308659,0,0,0,0,0,0,1377404.338818,15617472838.443348
2022-01-01,5621695159.979558,3603689207.642851,0,0,0,0,0,0,967117.601354,9226351485.223764
2022-02-01,7183160875.663255,3291699905.981962,0,0,0,0,0,0,1846537.575968,10476707319.221184
2022-03-01,5372154579.232816,3607627868.373841,0,0,0,0,0,0,946808.900190,8980729256.506847
2022-04-01,5036687230.214593,2538981663.971391,0,0,0,0,0,0,939107.348920,7576608001.534904
2022-05-01,3313088314.358808,1870645408.597898,0,0,0,0,0,0,564313.972140,5184298036.928846
2022-06-01,4188828279.387329,1826184265.147501,0,0,0,0,0,0,272272.548035,6015284817.082865
2022-07-01,1986058507.631698,1292022443.887111,0,0,0,0,0,0,31940.984043,3278112892.502851
2022-08-01,3995356060.531003,1490112173.473160,0,0,0,0,0,0,21053.332620,5485489287.336782
