day,USDC,USDT,USDT0,USDC.e,USDT.e,USDt,PYUSD,RLUSD,USD₮0,EURC,USDtb,FDUSD,USDG,USDP,USDH,mUSD,USD₮,EUROC,FLX,total
2019-05-01,1721992.864351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1721992.864351
2019-06-01,36659449.618126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36659449.618126
2019-07-01,188000133.057837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188000133.057837
2019-08-01,492697939.720925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492697939.720925
2019-09-01,501913692.832143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501913692.832143
2019-10-01,513373445.422826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513373445.422826
2019-11-01,472621897.188179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472621897.188179
2019-12-01,457172627.402037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457172627.402037
2020-01-01,473573800.289365,20614761.934259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494188562.223624
2020-02-01,509332507.412385,77770565.935651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587103073.348035
2020-03-01,402525894.462733,133706357.254438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536232251.717170
2020-04-01,320233010.403032,131496049.456934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451729059.859966
2020-05-01,385666039.851452,176197539.844633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561863579.696085
2020-06-01,558918256.014556,1282824065.098329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1841742321.112885
2020-07-01,4984236450.750777,1907217323.340309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6891453774.091086
2020-08-01,8038411146.154584,5843691793.295932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13882102939.450516
2020-09-01,8260946476.445356,8600996015.616598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16861942492.061954
2020-10-01,8271125098.271145,5570610396.951876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13841735495.223021
2020-11-01,12147435922.464298,4196209830.094487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16343645752.558784
2020-12-01,22283080809.351631,7584912951.722680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29867993761.074310
2021-01-01,34016751552.821110,9804324748.777500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43821076301.598610
2021-02-01,48889637127.355644,17074504262.947126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65964141390.302773
2021-03-01,90718182586.057449,32742543307.737038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123460725893.794495
2021-04-01,143388733269.270203,48799712735.620872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192188446004.891083
2021-05-01,215039820966.438202,60518208652.664062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275558029619.102295
2021-06-01,193719124060.396637,51312445568.631393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245031569629.028015
2021-07-01,221503305038.030579,55593925207.531853,0,0,0,0,0,0,0,0,0,0,0,21980910.658228,0,0,0,0,0,277119211156.220642
2021-08-01,300158750432.081482,65799335655.768013,0,130914292.244734,905170716.628362,0,0,0,0,0,0,0,0,177337838.083867,0,0,0,0,0,367171508934.806458
2021-09-01,307399730297.112427,67464789440.080147,0,3000642247.583958,2414584508.688750,0,0,0,0,0,0,0,0,266307111.560645,0,0,0,0,0,380546053605.025940
2021-10-01,249091408953.448395,72926984838.888580,0,32694436764.929379,14014674752.925037,0,0,0,0,0,0,0,0,462664476.649850,0,0,0,0,0,369190169786.841248
2021-11-01,215750465333.374451,63004195873.288124,0,66041185039.533661,28775857691.543831,0,0,0,0,0,0,0,0,380502253.855087,0,0,0,0,0,373952206191.595215
2021-12-01,226187933860.503601,61156639460.592613,0,59173896804.773682,28105183141.916424,0,0,0,0,0,0,0,0,300461848.442178,0,0,0,0,0,374924115116.228516
2022-01-01,202531268917.506744,56963418611.191338,0,42440070711.786484,18715791615.539024,0,0,0,0,0,0,0,0,242133155.822725,0,0,0,0,0,320892683011.846313
2022-02-01,127990418577.375992,44946056754.111496,0,38904957922.779472,13378363479.271574,0,0,0,0,0,0,0,0,214728820.705941,0,0,0,0,0,225434525554.244476
2022-03-01,108047941674.887543,55838904276.909744,0,39151354317.719833,13739387438.218576,750835.264459,0,0,0,0,0,0,0,170331761.475113,0,0,0,0,0,216948670304.475281
2022-04-01,139001744784.757690,52830420838.351341,0,24659842958.270164,9967767704.382839,3407517809.235418,0,0,0,0,0,0,0,167071952.928976,0,0,0,0,0,230034366047.926453
2022-05-01,101211386758.593201,41123246649.710533,0,3693988103.793491,2746235683.091783,7420651151.530927,0,0,0,0,0,0,0,118990650.596107,0,0,0,0,0,156314498997.316040
2022-06-01,91766959364.903854,26849126533.103127,0,1342445689.010617,871948020.783851,9262203283.437765,0,0,0,0,0,0,0,41905829.929375,0,0,0,0,0,130134588721.168594
2022-07-01,58943689127.799355,23290883741.118355,0,669771611.674418,614973553.781993,11747700544.840158,0,0,0,0,0,0,0,14039205.035515,0,0,0,0,0,95281057784.249817
2022-08-01,72248128900.060349,25931770278.620960,0,658849674.745311,529828631.248385,10984005012.451536,0,0,0,0,0,0,0,11737336.528229,0,0,0,0,0,110364319833.654770
2022-09-01,59133569060.657341,20485791917.200733,0,568460615.753116,457650563.521001,6328805560.673922,0,0,0,0,0,0,0,10469718.025472,0,0,0,0,0,86984747435.831573
2022-10-01,52691093248.116798,22473063570.632065,0,606276105.363662,469199388.407744,4259129382.591959,0,0,0,0,0,0,0,11133018.680055,0,0,0,0,0,80509894713.792297
2022-11-01,36864055005.651718,20691313089.233852,0,562860278.597458,337210570.091192,2360528537.573640,0,0,0,0,0,0,0,12011854.929376,0,0,0,0,0,60827979336.077240
2022-12-01,35513000028.130775,18914089220.107807,0,510813493.396499,259538918.628759,1847864466.844035,0,0,0,0,0,0,0,14029689.768904,0,0,0,0,0,57059335816.876785
2023-01-01,38526649855.655258,19429263532.739048,0,467587983.563812,216778929.534353,1565153835.302012,0,0,0,0,0,0,0,17094547.539913,0,0,0,0,0,60222528684.334396
2023-02-01,42381090871.833542,18862608792.902420,0,395446414.170917,172780483.029562,1347672080.202719,0,0,0,0,0,0,0,25353963.732214,0,0,0,0,0,63184952605.871376
2023-03-01,42994814539.627449,25641241089.318832,0,409692042.342113,169648135.281371,809161991.475943,0,0,0,0,0,0,0,43473184.920000,0,0,0,0,0,70068030982.965698
2023-04-01,40621210895.964317,25831582597.216221,0,425318578.767729,143217254.605529,745834314.260266,0,0,0,0,0,0,0,39691398.867682,0,0,0,0,0,67806855039.681755
2023-05-01,44314725400.411797,26815926153.795815,0,432123485.371581,143438218.101978,694226434.730712,0,0,0,0,0,0,0,28849560.178789,0,0,0,0,0,72429289252.590668
2023-06-01,44126308939.984169,28636040624.752834,0,393804434.296119,145011874.929959,629729902.847854,0,0,0,0,0,0,0,31997818.476930,0,0,0,0,0,73962893595.287857
2023-07-01,52994172017.216469,32815532225.562649,0,383199270.326924,148282893.900080,554140694.566335,0,0,0,0,0,0,0,29529755.641861,0,0,0,0,0,86924856857.214310
2023-08-01,49213715620.749016,29306700796.038368,0,351381729.069397,149459178.878723,589441555.305361,0,0,0,0,0,0,0,12854439.287682,0,0,0,0,0,79623553319.328552
2023-09-01,44895574011.608047,27629832259.065903,0,190359020.717531,139991512.228969,466891741.280477,0,0,0,0,0,0,0,12750724.937021,0,0,0,0,0,73335399269.837952
2023-10-01,47654828418.752502,28238123597.127659,0,209579701.356118,127262339.451942,488076355.041376,0,0,0,0,0,0,0,11217578.301018,0,0,0,0,0,76729087990.030624
2023-11-01,49372701653.937340,27864919941.153076,0,224809172.683402,125674827.203317,528776739.358770,0,0,0,0,0,0,0,8910193.869859,0,0,0,0,0,78125792528.205765
2023-12-01,52799757847.360641,31871905861.216057,0,257832626.905910,131512221.720138,663774007.986475,0,0,0,0,0,7079390.637227,0,7938840.827354,0,0,0,0,0,85739800796.653793
2024-01-01,56395725812.369308,35839651978.460915,0,239225709.424614,134996705.077962,632215589.893991,0,0,0,0,0,92919714.479095,0,4894458.087051,0,0,0,0,0,93339629967.792953
2024-02-01,56629444763.227509,34109610949.239346,0,205500406.553254,123288597.474298,615635626.383210,86544416.474071,0,0,0,0,238998728.183332,0,37377891.889459,0,0,0,0,0,92046401379.424500
2024-03-01,75931555173.683517,45358159638.324638,0,221589885.654571,126721772.129626,826966536.748151,483280320.665845,0,0,0,0,417279812.290252,0,440822181.839377,0,0,0,0,0,123806375321.335968
2024-04-01,75617012392.206268,47641036399.534729,0,201682420.201616,115417170.889494,854543061.916514,577305893.663801,0,0,0,0,432311865.458275,0,712689523.360119,0,0,0,0,0,126151998727.230835
2024-05-01,81986311683.464767,52592126149.938309,0,207151417.891186,113367455.687083,861824284.994774,683229740.483143,0,0,0,0,467727320.565391,0,183139899.740494,0,0,0,0,0,137094877952.765152
2024-06-01,89197451894.119141,61236552467.550262,0,195875907.440002,116486794.763357,926669867.413571,886960461.725078,0,0,0,0,576473417.035924,0,27006004.057584,0,0,0,0,0,153163476814.104919
2024-07-01,89598263410.213409,65471876287.852478,0,176908149.697518,115627284.288015,1374972880.236626,868921394.895464,0,0,0,0,671088851.099777,0,19659076.053679,0,0,0,0,0,158297317334.336975
2024-08-01,84346535624.876282,59972380627.811501,0,158982123.499682,98413480.555702,1776637450.219237,700092519.440120,0,0,0,0,554320881.148211,0,9935217.760514,0,0,0,0,0,147617297925.311279
2024-09-01,85279789921.863495,60331588662.279938,0,147174236.528281,92352298.623571,1816136789.124938,624210506.160205,0,0,37623947.666462,0,418663051.657584,0,8710025.146828,0,0,0,0,0,148756249439.051331
2024-10-01,98473942850.465378,72560353105.017532,0,150172490.235423,91661925.426307,2419155724.719024,596357686.896894,0,0,290016996.899713,0,446711117.789839,0,9075058.096101,0,0,0,0,0,175037446955.546173
2024-11-01,107386637271.158798,82089311322.202011,0,142109538.198872,85580765.036453,2238282030.386752,589035893.123286,0,0,441121330.531019,0,576194804.720893,0,9190045.427917,0,0,0,0,0,193557463000.785980
2024-12-01,134220213385.354614,106899300559.673218,0,146523508.663957,87078483.116226,2429569111.769598,611450685.940668,0,0,596984075.530834,0,687078614.322024,0,8966975.857159,0,0,0,0,0,245687165400.228271
2025-01-01,152297372977.509308,110590212619.829544,0,147975529.209168,86501788.435211,2229783159.075603,617675875.718579,0,0,522397054.732307,0,564619241.118042,0,9163969.779518,0,0,0,0,0,267065702215.407257
2025-02-01,141243603223.892151,95417473212.733231,0,134866732.625632,77328678.544046,1684609204.020890,709548663.941106,0,0,343561477.141671,0,547584120.802788,0,7874205.976360,0,0,0,0,0,240166449519.677856
