day,ethereum,avalanche,bsc,base,polygon,arbitrum,plasma,optimism,hyperevm,worldchain,ink,linea,celo,soneium,stable,total
2019-05-01,1721992.864351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1721992.864351
2019-06-01,36659449.618126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36659449.618126
2019-07-01,188000133.057837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188000133.057837
2019-08-01,492697939.720925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492697939.720925
2019-09-01,501913692.832143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501913692.832143
2019-10-01,513373445.422826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513373445.422826
2019-11-01,472621897.188179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472621897.188179
2019-12-01,457172627.402037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457172627.402037
2020-01-01,494188562.223624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494188562.223624
2020-02-01,587103073.348035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587103073.348035
2020-03-01,536232251.717170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536232251.717170
2020-04-01,451729059.859966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451729059.859966
2020-05-01,561863579.696085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561863579.696085
2020-06-01,1841742321.112885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1841742321.112885
2020-07-01,6891453774.091087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6891453774.091087
2020-08-01,13882102939.450510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13882102939.450510
2020-09-01,16723856771.620327,0,133359372.793729,0,4726347.647896,0,0,0,0,0,0,0,0,0,0,16861942492.061953
2020-10-01,13590981155.884619,0,46045750.651711,0,204708588.686691,0,0,0,0,0,0,0,0,0,0,13841735495.223021
2020-11-01,16210684234.596306,0,132621915.886055,0,339602.076414,0,0,0,0,0,0,0,0,0,0,16343645752.558775
2020-12-01,28965789909.458145,0,901939745.429692,0,264106.186471,0,0,0,0,0,0,0,0,0,0,29867993761.074306
2021-01-01,42942407773.808449,0,878548165.640488,0,120362.149641,0,0,0,0,0,0,0,0,0,0,43821076301.598579
2021-02-01,60478093374.338295,0,5485812626.365656,0,235389.598818,0,0,0,0,0,0,0,0,0,0,65964141390.302765
2021-03-01,101241854105.592072,0,22217283825.662086,0,1587962.540427,0,0,0,0,0,0,0,0,0,0,123460725893.794571
2021-04-01,150675418152.034698,0,38344044855.611092,0,3168982997.245351,0,0,0,0,0,0,0,0,0,0,192188446004.891144
2021-05-01,226247173064.959473,0,21984828256.653084,0,27326028297.490116,0,0,0,0,0,0,0,0,0,0,275558029619.102661
2021-06-01,195420040968.299164,0,7513547569.899503,0,42097981090.829445,0,0,0,0,0,0,0,0,0,0,245031569629.028107
2021-07-01,234645268406.300476,0,9993199555.238735,0,32480743194.681519,0,0,0,0,0,0,0,0,0,0,277119211156.220703
2021-08-01,317659144373.728149,1036085008.873096,12852890196.570248,0,35623389355.635246,0,0,0,0,0,0,0,0,0,0,367171508934.806763
2021-09-01,331261206617.333069,5415226756.272709,11639323661.732698,0,32221847582.585976,8448987.101918,0,0,0,0,0,0,0,0,0,380546053605.026428
2021-10-01,277787681091.806580,46709111517.854401,12456080413.291746,0,32053784414.340805,183512349.547780,0,0,0,0,0,0,0,0,0,369190169786.841370
2021-11-01,234132209915.709381,94817042731.077438,11903989899.254093,0,32971552452.201897,127411193.352895,0,0,0,0,0,0,0,0,0,373952206191.595703
2021-12-01,228163325789.621948,87279097400.828201,11265048028.068817,0,48108244138.333221,108399759.376315,0,0,0,0,0,0,0,0,0,374924115116.228516
2022-01-01,195705456019.278503,61160655710.052216,9645827289.126116,0,54264888515.759384,115855477.630114,0,0,0,0,0,0,0,0,0,320892683011.846375
2022-02-01,136793577630.084091,52296110766.323929,7756271800.772686,0,28454376083.879650,134189273.184058,0,0,0,0,0,0,0,0,0,225434525554.244385
2022-03-01,145189654771.138245,52924416464.837860,9444266708.744951,0,9233992364.251352,152233777.363721,0,4106218.139328,0,0,0,0,0,0,0,216948670304.475433
2022-04-01,154940901332.710602,57679274793.371536,9761015309.523569,0,7467122770.315288,169625659.850209,0,16426182.155319,0,0,0,0,0,0,0,230034366047.926544
2022-05-01,100148517976.048553,44269824853.260361,6284363510.155426,0,5406314982.638103,170057410.094597,0,35420265.119026,0,0,0,0,0,0,0,156314498997.316040
2022-06-01,59143690013.925697,63021649147.975601,4322968191.512978,0,3458011149.529604,139367195.966220,0,48903022.258463,0,0,0,0,0,0,0,130134588721.168564
2022-07-01,44480420633.231041,43198090875.686134,4254081595.944192,0,2323929602.824802,957670551.775663,0,66864524.788084,0,0,0,0,0,0,0,95281057784.249924
2022-08-01,44768670912.453323,31447245728.636463,4426783037.802177,0,2086928472.217232,5766218964.388313,0,21868472718.157082,0,0,0,0,0,0,0,110364319833.654602
2022-09-01,38481239706.069229,20817368400.039337,3823612480.831213,0,1828939969.977180,3779442220.185557,0,18254144658.728920,0,0,0,0,0,0,0,86984747435.831451
2022-10-01,42948034417.712891,14912476415.928942,5632347574.621268,0,1959902902.589316,1820328494.357932,0,13236804908.581829,0,0,0,0,0,0,0,80509894713.792175
2022-11-01,41948759480.077545,8499204554.702217,5729264951.701453,0,2052777397.165603,1804928272.559633,0,793044679.870737,0,0,0,0,0,0,0,60827979336.077187
2022-12-01,39712553857.767586,5343945356.263594,5817871327.008218,0,1862770965.492253,3736712943.652937,0,585481366.692203,0,0,0,0,0,0,0,57059335816.876793
2023-01-01,41652914563.389297,5369454669.870387,5852297087.464917,0,1897386709.959657,4945563222.140224,0,504912431.509802,0,0,0,0,0,0,0,60222528684.334282
2023-02-01,42712986598.721497,4920720455.662453,5846645012.680800,0,1989518744.823800,7188089713.320832,0,526992080.661986,0,0,0,0,0,0,0,63184952605.871368
2023-03-01,48363505472.904129,2806721989.017097,7352874579.147619,0,2332192804.699806,8597727196.416637,0,615008940.780335,0,0,0,0,0,0,0,70068030982.965622
2023-04-01,46394845582.875366,2524492020.435265,8386105678.752290,0,2328204416.615402,7498850475.800584,0,674356865.202818,0,0,0,0,0,0,0,67806855039.681725
2023-05-01,50226447467.557945,2408559237.190860,8691174144.424831,0,2488747393.579642,7820142170.550297,0,794218839.286911,0,0,0,0,0,0,0,72429289252.590485
2023-06-01,52882366374.063499,2267628964.562213,8136345470.856148,0,2541584498.063205,7349395681.532349,0,785572606.210221,0,0,0,0,0,0,0,73962893595.287628
2023-07-01,64688532079.704338,2275046697.368608,8872459450.265207,0,2660408568.452833,7534334471.760791,0,894075589.662327,0,0,0,0,0,0,0,86924856857.214096
2023-08-01,58873435350.608406,2079253216.193228,7937668695.754581,0,2638511995.666882,7164945933.903762,0,929738127.201546,0,0,0,0,0,0,0,79623553319.328415
2023-09-01,54700634755.751343,1726540839.699280,6975649251.102130,27801128.987482,2469730909.257433,6602767739.254262,0,832274645.785820,0,0,0,0,0,0,0,73335399269.837738
2023-10-01,56880309870.674683,1854049112.040783,7385075021.913880,88712498.751461,2644824838.616847,7054315440.234222,0,821801207.798735,0,0,0,0,0,0,0,76729087990.030609
2023-11-01,58203824416.814102,1943435079.702233,7484574018.612289,105542223.173607,2816883626.391752,6831176154.216648,0,740357009.295069,0,0,0,0,0,0,0,78125792528.205704
