day,aave,compound,morpho_blue,venus_finance,maple,fluid,euler,benqi,iron_bank,reserve_lending,spark,lodestar_finance,radiant_capital,banker_joe,blizz_protocol,moonwell,uwulend,strike,percent_finance,lista_dao,seamless_protocol,hyperlend,kinza_finance,apple_lending,hundred_finance,annex_finance,cream_finance,centrifuge,ola_finance,atlantis_loans,hypurrfi,sturdy,nereus_finance,granary_finance,easy_finance,fortress_protocol,tender_finance,hopelend,neku,zerolend,extra_finance,goldbank_finance,sake_finance,channels_finance,paribus,portler,native_lend,aquarius_loan,filda,mahalend,avalon_finance,total
2019-05-01,0,1721992.864351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1721992.864351
2019-06-01,0,36659449.618126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36659449.618126
2019-07-01,0,188000133.057837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188000133.057837
2019-08-01,0,492697939.720925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492697939.720925
2019-09-01,0,501913692.832143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501913692.832143
2019-10-01,0,513373445.422826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513373445.422826
2019-11-01,0,472621897.188179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472621897.188179
2019-12-01,0,457172627.402037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457172627.402037
2020-01-01,21664294.677825,472524267.545799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494188562.223624
2020-02-01,89548256.340382,497554817.007653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587103073.348035
2020-03-01,239788320.192864,296443931.524306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536232251.717170
2020-04-01,292002775.527237,159726284.332730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451729059.859966
2020-05-01,357141503.461223,204722076.234863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561863579.696085
2020-06-01,540439517.576412,1301302803.536473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1841742321.112885
2020-07-01,2915913341.747302,3975540432.343784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6891453774.091085
2020-08-01,11160716157.242956,2721386782.207561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13882102939.450516
2020-09-01,14138338710.889301,2585518001.281368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.449657,0,0,0,0,0,0,0,133359372.793729,0,0,0,0,0,0,0,4726347.647896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16861942492.061953
2020-10-01,8947250944.228125,4502661884.319038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141068327.337455,0,0,0,0,0,0,0,46045750.651711,0,0,0,0,0,0,0,204708588.686691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13841735495.223021
2020-11-01,6858495481.328278,9197562233.705389,0,107302418.247306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154626519.562634,0,0,0,0,0,0,0,25319497.638748,0,0,0,0,0,0,0,339602.076414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16343645752.558769
2020-12-01,8826390471.234863,19955493028.556393,0,879381379.111257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183906409.666883,0,0,0,0,0,0,0,22558366.318436,0,0,0,0,0,0,0,264106.186471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29867993761.074299
2021-01-01,10319185117.433941,32439316215.699497,0,845122991.600851,0,0,0,0,31.008116,0,0,0,0,0,0,0,0,0,183906409.666883,0,0,0,0,0,0,0,33425174.039637,0,0,0,0,0,0,0,120362.149641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43821076301.598572
2021-02-01,14631699007.952333,44630153140.700027,0,5426413879.412021,0,0,0,0,1050132210.502943,0,0,0,0,0,0,0,0,0,166109015.182991,0,0,0,0,0,0,0,59398746.953639,0,0,0,0,0,0,0,235389.598818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65964141390.302765
2021-03-01,25731940965.061554,74740203731.569000,0,22124726217.504051,0,0,0,0,585844907.962998,0,0,0,0,0,0,0,0,0,183906409.666883,0,0,0,0,0,0,0,92557608.158033,0,0,0,0,0,0,0,1546053.871976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123460725893.794510
2021-04-01,43479675708.967949,107316834973.203247,0,38147158615.901413,0,0,0,0,2860096215.715985,0,0,0,0,0,0,0,0,0,177973944.838919,0,0,0,0,0,0,0,187984154.722173,0,0,0,0,0,0,0,9820306.553839,8902084.987511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192188446004.891052
2021-05-01,140232830529.011505,106256206394.501877,0,21632508853.147308,0,0,0,0,6381745979.489650,509063856.094111,0,0,0,0,0,0,0,320676.571582,183906409.666883,0,0,0,0,0,0,0,233403012.206315,0,0,0,0,0,0,0,9127517.113619,118916391.299464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275558029619.102295
2021-06-01,160700612860.167633,67335310864.735199,0,7314428546.354532,0,0,0,0,8974080645.011530,279820568.036841,0,0,0,0,0,0,0,33408866.206869,177973944.838919,0,0,0,0,8039324.956972,0,0,91024035.698576,0,0,0,0,0,0,0,8764819.625838,108105153.395208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245031569629.028107
2021-07-01,170757196140.298706,89823933271.371445,0,9867061291.437765,0,0,0,0,6038850206.793979,128369528.666608,0,0,0,0,0,0,0,72436072.259662,183906409.666883,0,0,0,0,109206359.033602,0,0,74628721.388956,0,0,0,0,0,0,0,9079351.163800,54543804.139421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277119211156.220886
