day,ethereum,tron,solana,arbitrum,base,avalanche,ton,aptos,polygon,celo,stellar,sui,optimism,bsc,hyperevm,codex,worldchain,linea,total
2019-01-01,531542156.800015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531542156.800015
2019-02-01,442536041.920015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442536041.920015
2019-03-01,460852369.920015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460852369.920015
2019-04-01,891158765.440015,137902010.600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029060776.040015
2019-05-01,1186636767.030015,37902010.600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224538777.630015
2019-06-01,1567972023.280015,37902010.600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1605874033.880015
2019-07-01,2164601303.410015,107402010.600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2272003314.010015
2019-08-01,2241110465.310015,112402010.600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2353512475.910015
2019-09-01,2706141017.466837,108402010.600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2814543028.066837
2019-10-01,2773583680.636837,832053610.600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3605637291.236837
2019-11-01,2737079432.213247,876550610.600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3613630042.813247
2019-12-01,3079781262.553247,916550610.601000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3996331873.154247
2020-01-01,3002767399.281981,916550610.601000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3919318009.882981
2020-02-01,3399319431.316440,598395020.121000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3997714451.437440
2020-03-01,5217006728.364125,762395020.121000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5979401748.485126
2020-04-01,6637246613.456494,1143395020.121000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7780641633.577495
2020-05-01,6751499601.278685,2383395020.121000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9134894621.399685
2020-06-01,7301691036.243942,2882712942.493118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10184403978.737061
2020-07-01,7768638589.045315,3452712942.493118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11221351531.538433
2020-08-01,10400966384.641041,3752709126.406446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14153675511.047487
2020-09-01,13049311324.686739,4245584534.900374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17294895859.587112
2020-10-01,14335891279.506638,4845520938.616233,25000010.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19206412228.122871
2020-11-01,15656802389.103710,5945511427.267511,25000020.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21627313836.371223
2020-12-01,17527871427.718201,6795498393.655445,50000020.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24373369841.373646
2021-01-01,22123915205.361549,10294464753.567598,70000020.000000,0,0,0,0,0,0,0,13.490000,0,0,0,0,0,0,0,32488379992.419147
2021-02-01,30006016848.161549,14294377690.728004,320000021.546800,0,0,0,0,0,0,0,3338409.003354,0,0,0,0,0,0,0,44623732969.439713
2021-03-01,34265652652.513622,18594331935.065678,410000023.322800,0,0,0,0,0,0,0,4431281.998229,0,0,0,0,0,0,0,53274415892.900330
2021-04-01,41181797361.563622,25994331936.065678,975000024.210800,0,0,0,0,0,2511.018363,0,7036143.108223,0,0,0,0,0,0,0,68158167975.966690
2021-05-01,54254060464.680672,31994331936.065678,975000024.210260,0,0,0,0,0,2511.018363,0,9280056.247664,0,0,0,0,0,0,0,87232674992.222641
2021-06-01,56188790285.716537,32096056162.796398,975000024.210260,0,0,0,0,0,2557.523655,0,8980804.005392,0,0,0,0,0,0,0,89268829834.252243
2021-07-01,58462558654.123688,32099081043.556396,1075000025.098260,0,0,0,0,0,185659.693992,0,10207377.055272,0,0,0,0,0,0,0,91647032759.527603
2021-08-01,61085282984.349915,32100145176.467010,1575000025.986260,0,0,0,0,0,887561.078183,0,11458231.226871,0,0,0,0,0,0,0,94772773979.108246
2021-09-01,63595468531.758881,36198709283.537010,3625000028.650260,0,0,0,0,0,803896.488321,0,161442927.372201,0,0,0,0,0,0,0,103581424667.806686
2021-10-01,65132658713.980637,36196076330.627007,3625000028.515683,0,0,1.000000,0,0,957799.020554,0,162704316.416364,0,0,0,0,0,0,0,105117397189.560242
2021-11-01,73630344731.196198,37226430706.839073,4725000028.515583,0,0,1000000.000000,0,0,2437162.913051,0,164443991.569089,0,0,0,0,0,0,0,115749656621.033005
2021-12-01,78694568039.236206,39870438820.009071,6675000028.403583,0,0,49620349.170000,0,0,3090386.847689,0,147586973.426691,0,0,0,0,0,0,0,125440304597.093231
2022-01-01,85771472204.394165,37253119260.740486,6675000028.297679,0,0,123318541.060000,0,0,3648361.945129,0,149964750.069528,0,0,0,0,0,0,0,129976523146.506989
2022-02-01,88934435541.068649,39251391682.350487,6675000027.297453,0,0,406909991.160000,0,0,3681921.117195,0,150978176.942904,0,0,0,0,0,0,0,135422397339.936676
2022-03-01,86793830980.156555,42179980302.020859,6675000026.296893,0,0,1382231055.300000,0,0,4207970.424687,0,169892664.442302,0,0,0,0,0,0,0,137205142998.641296
2022-04-01,84299057604.262848,42123473930.424858,6675000019.851984,0,0,1984595276.210000,0,0,5395773.132666,0,180286441.273460,0,0,0,0,0,0,0,135267809045.155823
2022-05-01,83706689680.555008,40723260457.624863,6924999680.172556,0,0,2112649404.650000,0,0,5080680.584307,0,179470255.707341,0,0,0,0,0,0,0,133652150159.294067
2022-06-01,80155877541.053909,35016161441.090813,6924999664.756124,0,0,2113236862.900000,0,0,4549248.091618,0,178469161.920004,0,0,0,0,0,0,0,124393293919.812439
2022-07-01,78869928267.830597,35315324122.300812,6924999422.117204,0,0,1861689382.160000,0,0,3509005.791555,0,181275339.809259,0,0,0,0,0,0,0,123156725540.009430
2022-08-01,76945608538.356598,36567812706.390808,6924964439.155865,0,0,1690130596.570000,0,0,3096146.865267,0,181631201.139259,0,0,0,0,0,0,0,122313243628.477798
2022-09-01,74035379045.882233,36314853751.720810,6924964433.608787,0,0,1616208264.000000,0,0,2449179.241056,0,184711103.081092,0,0,0,0,0,0,0,119078565777.533966
2022-10-01,72431455284.017365,37349535736.333305,6924964426.740987,0,0,1446279300.840000,0,0,6991415.648415,0,197640265.210929,0,0,0,0,0,0,0,118356866428.791000
2022-11-01,73109962859.732239,38036373315.203300,6924954023.104668,213.170000,0,1507203870.650000,0,0,2034886.475232,0,191681639.840091,0,133.580000,0,0,0,0,0,119772210941.755539
2022-12-01,74810176583.801193,38242921431.030579,6924954021.486473,213.170000,0,1296159894.060000,0,0,3538757.133564,0,162016374.052487,0,133.580000,0,0,0,0,0,121439767408.314285
2023-01-01,72589396070.219528,38533381728.650581,6924953991.208869,213.170000,0,1254882332.090000,0,0,2860402.483213,0,167589052.763716,0,133.580000,0,0,0,0,0,119473063924.165909
2023-02-01,70956295174.856567,41191179015.231110,6924953980.212134,213.170000,0,1193086567.580000,0,0,2778822.795350,0,94440245.793716,0,133.580000,0,0,0,0,0,120362734153.218872
2023-03-01,67029333999.182831,44623283993.751106,6924894109.045255,213.170000,0,993351233.345894,0,0,3604168.431195,0,77710594.426381,0,133.580000,0,0,0,0,0,119652178444.932648
2023-04-01,66415731014.778381,45544852601.154984,6924894086.019788,237.070000,0,1021614471.326431,0,0,2964853.857351,0,82137930.624192,0,332.300000,0,0,0,0,0,119992195527.131134
2023-05-01,64717754676.012924,46508193134.484985,6924883516.275322,237.070000,0,1088181759.724449,0,0,1940982.326925,0,86637874.714192,0,339.190000,250.000000,0,0,0,0,119327592769.798798
2023-06-01,65688327108.793625,43483583359.342285,6924883515.089774,135957560.156984,0,1126718571.649620,0,0,2154837.493503,0,89928002.494191,0,339.190000,250.000000,0,0,0,0,117451553544.209961
2023-07-01,64401656295.485809,44430806698.032616,6924883511.557650,182345816.792944,0,1067566990.137474,0,0,1493498.304026,0,103008365.094181,0,286.390000,10086228.880000,0,0,0,0,117121847690.674713
2023-08-01,64457190699.582153,43278316126.332611,6924883389.052172,195259317.220924,278.100000,1026235488.350703,0,0,1505728.521495,0,100675863.327602,0,457.528350,25080728.880000,0,0,0,0,116009148076.896027
2023-09-01,63456047543.654282,44223321524.114853,6924883353.194382,186605162.440768,27448801.060000,1010281294.106376,0,0,1056125.415602,0,112161100.042330,0,19908461.555179,45380728.880000,0,0,0,0,116007094094.463760
2023-10-01,63117752324.220779,45153709005.629509,6924883349.969629,300356938.868595,154621421.838566,1161490335.220389,0,0,43299213.635384,0,138895557.962550,0,36175028.118183,45380778.880000,0,0,0,0,117076563954.343582
