day,USDT,USDC,FDUSD,PYUSD,USDP,USDTB,USDG,RLUSD,EURS,EURC,EURCV,USDH,MUSD,total
2019-01-01,60057493.363429,307793723.650000,0,0,127673513.100000,0,0,0,36017426.686586,0,0,0,0,531542156.800015
2019-02-01,60057493.363429,236917932.170000,0,0,109543189.700000,0,0,0,36017426.686586,0,0,0,0,442536041.920015
2019-03-01,60057493.363429,246694704.210000,0,0,118082745.660000,0,0,0,36017426.686586,0,0,0,0,460852369.920015
2019-04-01,537959503.963429,293184174.060000,0,0,160737039.030000,0,0,0,37180058.986586,0,0,0,0,1029060776.040015
2019-05-01,687959503.963429,334092929.790000,0,0,165306284.890000,0,0,0,37180058.986586,0,0,0,0,1224538777.630015
2019-06-01,1037959503.963429,366634882.860000,0,0,164099588.070000,0,0,0,37180058.986586,0,0,0,0,1605874033.880015
2019-07-01,1557459503.963429,436169024.910000,0,0,241194726.150000,0,0,0,37180058.986586,0,0,0,0,2272003314.010015
2019-08-01,1662459503.963429,453807796.330000,0,0,200065116.630000,0,0,0,37180058.986586,0,0,0,0,2353512475.910015
2019-09-01,2092395053.380251,429864296.820000,0,0,255103618.880000,0,0,0,37180058.986586,0,0,0,0,2814543028.066837
2019-10-01,2856046653.380251,464533279.550000,0,0,247877299.320000,0,0,0,37180058.986586,0,0,0,0,3605637291.236837
2019-11-01,2900260391.706661,457460016.970000,0,0,218729575.150000,0,0,0,37180058.986586,0,0,0,0,3613630042.813248
2019-12-01,3215260391.707661,520368712.140000,0,0,223522710.320000,0,0,0,37180058.986586,0,0,0,0,3996331873.154247
2020-01-01,3215101121.166395,440729790.000000,0,0,226307039.730000,0,0,0,37180058.986586,0,0,0,0,3919318009.882981
2020-02-01,3316677572.740854,444856561.480000,0,0,199000258.230000,0,0,0,37180058.986586,0,0,0,0,3997714451.437440
2020-03-01,5000515274.708539,693469078.780000,0,0,248237336.010000,0,0,0,37180058.986586,0,0,0,0,5979401748.485126
2020-04-01,6761506741.670909,727058884.310000,0,0,254895948.610000,0,0,0,37180058.986586,0,0,0,0,7780641633.577496
2020-05-01,8121365431.043098,730920000.730000,0,0,245429130.640000,0,0,0,37180058.986586,0,0,0,0,9134894621.399683
