day,Weekday,Weekend,total
2026-05-04,7290713.000000,0,7290713.000000
2026-05-05,7164401.000000,0,7164401.000000
2026-05-06,7356722.000000,0,7356722.000000
2026-05-07,7338217.000000,0,7338217.000000
2026-05-08,7444557.000000,0,7444557.000000
2026-05-09,0,6227843.000000,6227843.000000
2026-05-10,0,5928333.000000,5928333.000000
2026-05-11,7100136.000000,0,7100136.000000
2026-05-12,6848404.000000,0,6848404.000000
2026-05-13,7176199.000000,0,7176199.000000
2026-05-14,7068921.000000,0,7068921.000000
2026-05-15,7510434.000000,0,7510434.000000
2026-05-16,0,6237893.000000,6237893.000000
2026-05-17,0,6121720.000000,6121720.000000
2026-05-18,7459321.000000,0,7459321.000000
2026-05-19,7248890.000000,0,7248890.000000
2026-05-20,7686760.000000,0,7686760.000000
2026-05-21,7538770.000000,0,7538770.000000
2026-05-22,7225015.000000,0,7225015.000000
2026-05-23,0,6466310.000000,6466310.000000
2026-05-24,0,6065904.000000,6065904.000000
2026-05-25,6851232.000000,0,6851232.000000
2026-05-26,6821270.000000,0,6821270.000000
2026-05-27,6810910.000000,0,6810910.000000
2026-05-28,7225153.000000,0,7225153.000000
2026-05-29,6703541.000000,0,6703541.000000
2026-05-30,0,5689821.000000,5689821.000000
2026-05-31,0,5669667.000000,5669667.000000
2026-06-01,7867688.000000,0,7867688.000000
2026-06-02,7859163.000000,0,7859163.000000
2026-06-03,7597600.000000,0,7597600.000000
2026-06-04,928899.000000,0,928899.000000
