day,Weekday,Weekend,total
2026-05-04,45400439262.044968,0,45400439262.044968
2026-05-05,38283671119.104424,0,38283671119.104424
2026-05-06,40046370904.075928,0,40046370904.075928
2026-05-07,36999125574.379135,0,36999125574.379135
2026-05-08,38739403423.952080,0,38739403423.952080
2026-05-09,0,24907557093.019737,24907557093.019737
2026-05-10,0,23199365842.722496,23199365842.722496
2026-05-11,53610257589.854202,0,53610257589.854202
2026-05-12,43993626206.283554,0,43993626206.283554
2026-05-13,44216446252.720840,0,44216446252.720840
2026-05-14,46656372206.268967,0,46656372206.268967
2026-05-15,45836156918.958176,0,45836156918.958176
2026-05-16,0,30672462745.591888,30672462745.591888
2026-05-17,0,24907757173.493492,24907757173.493492
2026-05-18,41951117481.737267,0,41951117481.737267
2026-05-19,39041609720.824631,0,39041609720.824631
2026-05-20,45737782707.138016,0,45737782707.138016
2026-05-21,43516518362.733665,0,43516518362.733665
2026-05-22,42863151748.381020,0,42863151748.381020
2026-05-23,0,36190473493.003853,36190473493.003853
2026-05-24,0,29547641927.282242,29547641927.282242
2026-05-25,30498003379.325790,0,30498003379.325790
2026-05-26,46161937790.656174,0,46161937790.656174
2026-05-27,40020422090.397064,0,40020422090.397064
2026-05-28,38686550148.830017,0,38686550148.830017
2026-05-29,33244398799.467571,0,33244398799.467571
2026-05-30,0,15769965751.636875,15769965751.636875
2026-05-31,0,19243759303.799706,19243759303.799706
2026-06-01,44297579406.498764,0,44297579406.498764
2026-06-02,54727583213.200089,0,54727583213.200089
2026-06-03,45355747372.253136,0,45355747372.253136
2026-06-04,15574506290.427273,0,15574506290.427273
