day,Unadjusted,Adjusted,total
2017-11-01,2.000000,7.000000,9.000000
2017-12-01,3.000000,23.000000,26.000000
2018-01-01,59.000000,337.000000,396.000000
2018-02-01,129.000000,985.000000,1114.000000
2018-03-01,196.000000,1090.000000,1286.000000
2018-04-01,103.000000,2176.000000,2279.000000
2018-05-01,92.000000,2638.000000,2730.000000
2018-06-01,817.000000,2518.000000,3335.000000
2018-07-01,2268.000000,3222.000000,5490.000000
2018-08-01,546.000000,2580.000000,3126.000000
2018-09-01,1183.000000,5126.000000,6309.000000
2018-10-01,4555.000000,8793.000000,13348.000000
2018-11-01,13619.000000,30900.000000,44519.000000
2018-12-01,19882.000000,48646.000000,68528.000000
2019-01-01,12960.000000,53781.000000,66741.000000
2019-02-01,12181.000000,50570.000000,62751.000000
2019-03-01,13544.000000,58562.000000,72106.000000
2019-04-01,25174.000000,118555.000000,143729.000000
2019-05-01,243807.000000,241705.000000,485512.000000
2019-06-01,332381.000000,471290.000000,803671.000000
2019-07-01,370724.000000,899914.000000,1270638.000000
2019-08-01,364216.000000,2074004.000000,2438220.000000
2019-09-01,444333.000000,3519060.000000,3963393.000000
2019-10-01,624938.000000,2067744.000000,2692682.000000
2019-11-01,630136.000000,2266624.000000,2896760.000000
2019-12-01,745532.000000,2016307.000000,2761839.000000
2020-01-01,1236649.000000,1829800.000000,3066449.000000
2020-02-01,929365.000000,2515753.000000,3445118.000000
2020-03-01,1610968.000000,3444841.000000,5055809.000000
2020-04-01,1800279.000000,4098658.000000,5898937.000000
2020-05-01,1676524.000000,5207804.000000,6884328.000000
2020-06-01,2153374.000000,6355813.000000,8509187.000000
2020-07-01,2244163.000000,6649789.000000,8893952.000000
2020-08-01,3312295.000000,7786741.000000,11099036.000000
2020-09-01,3383898.000000,9112902.000000,12496800.000000
2020-10-01,46665614.000000,10518149.000000,57183763.000000
2020-11-01,47605911.000000,10630048.000000,58235959.000000
2020-12-01,36341273.000000,10685440.000000,47026713.000000
2021-01-01,52298674.000000,12631880.000000,64930554.000000
2021-02-01,39169153.000000,16124260.000000,55293413.000000
2021-03-01,26174363.000000,18717010.000000,44891373.000000
2021-04-01,40140323.000000,24497573.000000,64637896.000000
2021-05-01,54515092.000000,33028155.000000,87543247.000000
2021-06-01,47894352.000000,24920526.000000,72814878.000000
2021-07-01,46106293.000000,23409940.000000,69516233.000000
2021-08-01,55632036.000000,29325073.000000,84957109.000000
2021-09-01,69677526.000000,33636306.000000,103313832.000000
2021-10-01,78938463.000000,40606869.000000,119545332.000000
2021-11-01,91698578.000000,51299019.000000,142997597.000000
2021-12-01,90159595.000000,45760464.000000,135920059.000000
2022-01-01,82727793.000000,41230757.000000,123958550.000000
2022-02-01,88857911.000000,37975373.000000,126833284.000000
2022-03-01,109945553.000000,42983838.000000,152929391.000000
2022-04-01,86069255.000000,47673837.000000,133743092.000000
2022-05-01,103094626.000000,54260959.000000,157355585.000000
2022-06-01,184892789.000000,47634204.000000,232526993.000000
2022-07-01,308246189.000000,46676732.000000,354922921.000000
2022-08-01,389243758.000000,47061066.000000,436304824.000000
2022-09-01,310341659.000000,46639558.000000,356981217.000000
2022-10-01,222133755.000000,55095680.000000,277229435.000000
2022-11-01,126744575.000000,73184268.000000,199928843.000000
2022-12-01,78557117.000000,76075553.000000,154632670.000000
2023-01-01,124749663.000000,70636195.000000,195385858.000000
2023-02-01,129692244.000000,60739165.000000,190431409.000000
2023-03-01,164559151.000000,71082952.000000,235642103.000000
2023-04-01,149517339.000000,77846652.000000,227363991.000000
2023-05-01,158044398.000000,86214811.000000,244259209.000000
2023-06-01,124230366.000000,75957215.000000,200187581.000000
2023-07-01,115214384.000000,75931662.000000,191146046.000000
2023-08-01,105878780.000000,75422820.000000,181301600.000000
2023-09-01,87207895.000000,72018629.000000,159226524.000000
2023-10-01,98834354.000000,74043012.000000,172877366.000000
2023-11-01,148634734.000000,75403088.000000,224037822.000000
2023-12-01,191470093.000000,84034063.000000,275504156.000000
2024-01-01,209965960.000000,83589559.000000,293555519.000000
2024-02-01,237598968.000000,78430002.000000,316028970.000000
2024-03-01,281851828.000000,111809750.000000,393661578.000000
2024-04-01,254251810.000000,105020795.000000,359272605.000000
2024-05-01,245206866.000000,101038475.000000,346245341.000000
2024-06-01,254076026.000000,101395529.000000,355471555.000000
2024-07-01,245661621.000000,105612872.000000,351274493.000000
2024-08-01,278471578.000000,107736702.000000,386208280.000000
2024-09-01,235959145.000000,111765474.000000,347724619.000000
2024-10-01,278416466.000000,117551092.000000,395967558.000000
2024-11-01,363970204.000000,129450032.000000,493420236.000000
2024-12-01,444954837.000000,135072089.000000,580026926.000000
2025-01-01,523846470.000000,138056840.000000,661903310.000000
2025-02-01,412784077.000000,123457456.000000,536241533.000000
2025-03-01,458734736.000000,135401855.000000,594136591.000000
2025-04-01,535668160.000000,127424659.000000,663092819.000000
2025-05-01,799084629.000000,193424484.000000,992509113.000000
2025-06-01,923534621.000000,240601692.000000,1164136313.000000
2025-07-01,995754404.000000,250128367.000000,1245882771.000000
2025-08-01,925711327.000000,202800469.000000,1128511796.000000
2025-09-01,966314338.000000,200412226.000000,1166726564.000000
2025-10-01,1234504416.000000,234716048.000000,1469220464.000000
2025-11-01,1201718757.000000,218751833.000000,1420470590.000000
2025-12-01,1304595142.000000,210232855.000000,1514827997.000000
2026-01-01,1369836031.000000,216895899.000000,1586731930.000000
2026-02-01,1380818452.000000,199117195.000000,1579935647.000000
2026-03-01,1621518403.000000,216214272.000000,1837732675.000000
2026-04-01,1370702780.000000,209120200.000000,1579822980.000000
2026-05-01,1164840160.000000,210716439.000000,1375556599.000000
2026-06-01,139430897.000000,24253350.000000,163684247.000000
