day,tron,bsc,ethereum,solana,polygon,arbitrum,base,optimism,celo,avalanche,stellar,aptos,worldchain,ton,sui,plasma,linea,hyperevm,stable,codex,total
2017-11-01,0,0,7.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.000000
2017-12-01,0,0,23.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.000000
2018-01-01,0,0,337.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337.000000
2018-02-01,0,0,985.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,985.000000
2018-03-01,0,0,1090.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090.000000
2018-04-01,0,0,2176.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2176.000000
2018-05-01,0,0,2638.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2638.000000
2018-06-01,0,0,2518.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2518.000000
2018-07-01,0,0,3222.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3222.000000
2018-08-01,0,0,2580.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2580.000000
2018-09-01,0,0,5126.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5126.000000
2018-10-01,0,0,8793.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8793.000000
2018-11-01,0,0,30900.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30900.000000
2018-12-01,0,0,48646.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48646.000000
2019-01-01,0,0,53781.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53781.000000
2019-02-01,0,0,50570.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50570.000000
2019-03-01,0,0,58562.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58562.000000
2019-04-01,2081.000000,0,116474.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118555.000000
2019-05-01,5807.000000,0,235898.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241705.000000
2019-06-01,4864.000000,0,466426.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471290.000000
2019-07-01,10193.000000,0,889721.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899914.000000
2019-08-01,5259.000000,0,2068745.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2074004.000000
2019-09-01,4809.000000,0,3514251.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3519060.000000
2019-10-01,36084.000000,0,2031660.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2067744.000000
2019-11-01,63155.000000,0,2203469.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2266624.000000
2019-12-01,85221.000000,0,1931086.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016307.000000
2020-01-01,113426.000000,0,1716374.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1829800.000000
2020-02-01,168382.000000,0,2347371.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2515753.000000
2020-03-01,256418.000000,0,3188423.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3444841.000000
2020-04-01,298993.000000,0,3799665.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4098658.000000
2020-05-01,321291.000000,0,4886513.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5207804.000000
2020-06-01,520105.000000,0,5835708.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6355813.000000
2020-07-01,846812.000000,0,5802977.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6649789.000000
2020-08-01,1815738.000000,0,5971003.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7786741.000000
2020-09-01,3929845.000000,49533.000000,5132712.000000,0,812.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9112902.000000
2020-10-01,3523848.000000,52940.000000,6924149.000000,1447.000000,15765.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10518149.000000
2020-11-01,3340809.000000,55139.000000,7199988.000000,5029.000000,29083.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10630048.000000
2020-12-01,3939257.000000,60982.000000,6664773.000000,3605.000000,16823.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10685440.000000
2021-01-01,5886438.000000,118551.000000,6568975.000000,13892.000000,44011.000000,0,0,0,0,0,13.000000,0,0,0,0,0,0,0,0,0,12631880.000000
2021-02-01,10309230.000000,595195.000000,5097921.000000,35809.000000,57617.000000,0,0,0,0,0,28488.000000,0,0,0,0,0,0,0,0,0,16124260.000000
2021-03-01,12167251.000000,1069006.000000,5232765.000000,134470.000000,92675.000000,0,0,0,0,0,20843.000000,0,0,0,0,0,0,0,0,0,18717010.000000
2021-04-01,14602017.000000,2714090.000000,5815749.000000,1033951.000000,292515.000000,0,0,0,0,0,39251.000000,0,0,0,0,0,0,0,0,0,24497573.000000
2021-05-01,19176882.000000,5018827.000000,6158674.000000,1287028.000000,1324988.000000,0,0,0,0,0,61756.000000,0,0,0,0,0,0,0,0,0,33028155.000000
2021-06-01,12395359.000000,3850916.000000,5391487.000000,578432.000000,2663856.000000,10.000000,0,0,0,0,40466.000000,0,0,0,0,0,0,0,0,0,24920526.000000
2021-07-01,12397787.000000,3597179.000000,4760766.000000,370664.000000,2247174.000000,76.000000,0,0,0,26.000000,36268.000000,0,0,0,0,0,0,0,0,0,23409940.000000
2021-08-01,16469053.000000,4739505.000000,4568613.000000,874658.000000,2451804.000000,171.000000,0,0,0,119684.000000,101585.000000,0,0,0,0,0,0,0,0,0,29325073.000000
2021-09-01,17690314.000000,5344032.000000,4235699.000000,2978808.000000,2668259.000000,238207.000000,0,0,0,366747.000000,114240.000000,0,0,0,0,0,0,0,0,0,33636306.000000
2021-10-01,21423781.000000,7368188.000000,4469741.000000,2635017.000000,3927992.000000,148637.000000,0,0,0,483100.000000,150413.000000,0,0,0,0,0,0,0,0,0,40606869.000000
2021-11-01,26065007.000000,11014526.000000,4752573.000000,4319288.000000,3691460.000000,96461.000000,0,21607.000000,0,668734.000000,669363.000000,0,0,0,0,0,0,0,0,0,51299019.000000
2021-12-01,23974519.000000,8562211.000000,4225856.000000,3258020.000000,4023154.000000,99718.000000,0,52657.000000,0,807035.000000,757294.000000,0,0,0,0,0,0,0,0,0,45760464.000000
2022-01-01,22108645.000000,7632817.000000,3349571.000000,3563104.000000,2341015.000000,120938.000000,0,28499.000000,0,743937.000000,1342231.000000,0,0,0,0,0,0,0,0,0,41230757.000000
2022-02-01,20389469.000000,8178223.000000,2738755.000000,2225062.000000,2178778.000000,129815.000000,0,29940.000000,0,726642.000000,1378689.000000,0,0,0,0,0,0,0,0,0,37975373.000000
2022-03-01,23916302.000000,9564904.000000,3478526.000000,1941500.000000,2019654.000000,179021.000000,0,53094.000000,0,680449.000000,1150388.000000,0,0,0,0,0,0,0,0,0,42983838.000000
2022-04-01,27349670.000000,10141275.000000,3044042.000000,3278470.000000,2196680.000000,240215.000000,0,93713.000000,0,519519.000000,810253.000000,0,0,0,0,0,0,0,0,0,47673837.000000
2022-05-01,30637348.000000,11010847.000000,3742783.000000,3977725.000000,2705536.000000,443582.000000,0,131750.000000,0,574195.000000,1037193.000000,0,0,0,0,0,0,0,0,0,54260959.000000
2022-06-01,26090085.000000,10885965.000000,3259153.000000,2627584.000000,2697296.000000,557002.000000,0,241978.000000,0,427824.000000,847317.000000,0,0,0,0,0,0,0,0,0,47634204.000000
2022-07-01,25877476.000000,11372656.000000,3557459.000000,1565617.000000,2626385.000000,453106.000000,0,239893.000000,0,387260.000000,596880.000000,0,0,0,0,0,0,0,0,0,46676732.000000
2022-08-01,27459424.000000,9912065.000000,3609017.000000,1345914.000000,2721780.000000,657307.000000,0,357622.000000,0,398933.000000,599004.000000,0,0,0,0,0,0,0,0,0,47061066.000000
