day,USDT,USDC,PYUSD,EURC,USDP,FDUSD,MUSD,USDG,USDH,EURS,RLUSD,EURCV,USDTB,total
2017-11-01,7.000000,0,0,0,0,0,0,0,0,0,0,0,0,7.000000
2017-12-01,23.000000,0,0,0,0,0,0,0,0,0,0,0,0,23.000000
2018-01-01,337.000000,0,0,0,0,0,0,0,0,0,0,0,0,337.000000
2018-02-01,985.000000,0,0,0,0,0,0,0,0,0,0,0,0,985.000000
2018-03-01,1090.000000,0,0,0,0,0,0,0,0,0,0,0,0,1090.000000
2018-04-01,2176.000000,0,0,0,0,0,0,0,0,0,0,0,0,2176.000000
2018-05-01,2638.000000,0,0,0,0,0,0,0,0,0,0,0,0,2638.000000
2018-06-01,2291.000000,0,0,0,0,0,0,0,0,227.000000,0,0,0,2518.000000
2018-07-01,2854.000000,0,0,0,0,0,0,0,0,368.000000,0,0,0,3222.000000
2018-08-01,2373.000000,0,0,0,0,0,0,0,0,207.000000,0,0,0,2580.000000
2018-09-01,4039.000000,174.000000,0,0,427.000000,0,0,0,0,486.000000,0,0,0,5126.000000
2018-10-01,2802.000000,1729.000000,0,0,3306.000000,0,0,0,0,956.000000,0,0,0,8793.000000
2018-11-01,3260.000000,15242.000000,0,0,10268.000000,0,0,0,0,2130.000000,0,0,0,30900.000000
2018-12-01,6512.000000,28970.000000,0,0,9719.000000,0,0,0,0,3445.000000,0,0,0,48646.000000
2019-01-01,3573.000000,32916.000000,0,0,13049.000000,0,0,0,0,4243.000000,0,0,0,53781.000000
2019-02-01,2931.000000,35017.000000,0,0,9400.000000,0,0,0,0,3222.000000,0,0,0,50570.000000
2019-03-01,9558.000000,40856.000000,0,0,5617.000000,0,0,0,0,2531.000000,0,0,0,58562.000000
2019-04-01,51151.000000,56643.000000,0,0,8191.000000,0,0,0,0,2570.000000,0,0,0,118555.000000
2019-05-01,111124.000000,96016.000000,0,0,31582.000000,0,0,0,0,2983.000000,0,0,0,241705.000000
2019-06-01,327545.000000,104587.000000,0,0,36220.000000,0,0,0,0,2938.000000,0,0,0,471290.000000
2019-07-01,764261.000000,97139.000000,0,0,37443.000000,0,0,0,0,1069.000000,0,0,0,899912.000000
2019-08-01,1955918.000000,81606.000000,0,0,35832.000000,0,0,0,0,646.000000,0,0,0,2074002.000000
2019-09-01,3414408.000000,74797.000000,0,0,29032.000000,0,0,0,0,823.000000,0,0,0,3519060.000000
2019-10-01,1944024.000000,86428.000000,0,0,36121.000000,0,0,0,0,1170.000000,0,0,0,2067743.000000
2019-11-01,2139309.000000,87559.000000,0,0,38965.000000,0,0,0,0,791.000000,0,0,0,2266624.000000
2019-12-01,1883629.000000,84441.000000,0,0,47531.000000,0,0,0,0,706.000000,0,0,0,2016307.000000
2020-01-01,1634406.000000,112104.000000,0,0,82585.000000,0,0,0,0,703.000000,0,0,0,1829798.000000
2020-02-01,2239803.000000,150649.000000,0,0,124235.000000,0,0,0,0,1064.000000,0,0,0,2515751.000000
2020-03-01,3010617.000000,214152.000000,0,0,218420.000000,0,0,0,0,1651.000000,0,0,0,3444840.000000
2020-04-01,3564092.000000,194292.000000,0,0,339087.000000,0,0,0,0,1187.000000,0,0,0,4098658.000000
2020-05-01,4494227.000000,225993.000000,0,0,486587.000000,0,0,0,0,995.000000,0,0,0,5207802.000000
2020-06-01,5774923.000000,262225.000000,0,0,317809.000000,0,0,0,0,856.000000,0,0,0,6355813.000000
2020-07-01,6158364.000000,364073.000000,0,0,126220.000000,0,0,0,0,1130.000000,0,0,0,6649787.000000
2020-08-01,7248430.000000,497723.000000,0,0,39629.000000,0,0,0,0,959.000000,0,0,0,7786741.000000
2020-09-01,8504250.000000,585966.000000,0,0,21966.000000,0,0,0,0,719.000000,0,0,0,9112901.000000
2020-10-01,9617105.000000,873869.000000,0,0,26140.000000,0,0,0,0,1030.000000,0,0,0,10518144.000000
2020-11-01,9256633.000000,1311203.000000,0,0,60679.000000,0,0,0,0,1532.000000,0,0,0,10630047.000000
2020-12-01,9593329.000000,1047584.000000,0,0,42597.000000,0,0,0,0,1927.000000,0,0,0,10685437.000000
2021-01-01,11406914.000000,1178978.000000,0,0,43033.000000,0,0,0,0,2953.000000,0,0,0,12631878.000000
2021-02-01,14721865.000000,1373458.000000,0,0,27403.000000,0,0,0,0,1532.000000,0,0,0,16124258.000000
2021-03-01,17099166.000000,1598924.000000,0,0,17644.000000,0,0,0,0,1275.000000,0,0,0,18717009.000000
2021-04-01,21468420.000000,3010253.000000,0,0,17448.000000,0,0,0,0,1451.000000,0,0,0,24497572.000000
2021-05-01,28836753.000000,4168815.000000,0,0,20599.000000,0,0,0,0,1966.000000,0,0,0,33028133.000000
2021-06-01,20309417.000000,4592856.000000,0,0,15072.000000,0,0,0,0,3164.000000,0,0,0,24920509.000000
2021-07-01,19479007.000000,3915547.000000,0,0,14018.000000,0,0,0,0,1638.000000,0,0,0,23410210.000000
2021-08-01,24839647.000000,4470670.000000,0,0,13468.000000,0,0,0,0,1201.000000,0,0,0,29324986.000000
2021-09-01,26974353.000000,6651388.000000,0,0,9026.000000,0,0,0,0,1195.000000,0,0,0,33635962.000000
2021-10-01,33535014.000000,7062035.000000,0,0,8457.000000,0,0,0,0,1249.000000,0,0,0,40606755.000000
2021-11-01,42340728.000000,8949580.000000,0,0,6520.000000,0,0,0,0,1397.000000,0,0,0,51298225.000000
2021-12-01,37184308.000000,8567916.000000,0,0,5407.000000,0,0,0,0,2073.000000,0,0,0,45759704.000000
2022-01-01,34160308.000000,7063737.000000,0,0,4665.000000,0,0,0,0,1083.000000,0,0,0,41229793.000000
2022-02-01,31616820.000000,6352747.000000,0,0,3802.000000,0,0,0,0,960.000000,0,0,0,37974329.000000
2022-03-01,36517032.000000,6458029.000000,0,0,5406.000000,0,0,0,0,1599.000000,0,0,0,42982066.000000
2022-04-01,40694945.000000,6969823.000000,0,0,4098.000000,0,0,0,0,1818.000000,0,0,0,47670684.000000
2022-05-01,44344100.000000,9905165.000000,0,13.000000,6182.000000,0,0,0,0,2631.000000,0,0,0,54258091.000000
2022-06-01,39013272.000000,8612423.000000,0,99.000000,5600.000000,0,0,0,0,2311.000000,0,0,0,47633705.000000
2022-07-01,39926403.000000,6742958.000000,0,389.000000,3794.000000,0,0,0,0,2469.000000,0,0,0,46676013.000000
2022-08-01,40481674.000000,6567296.000000,0,2455.000000,3145.000000,0,0,0,0,1828.000000,0,0,0,47056398.000000
2022-09-01,39848880.000000,6768891.000000,0,1355.000000,3692.000000,0,0,0,0,2049.000000,0,0,0,46624867.000000
2022-10-01,48604076.000000,6471085.000000,0,2099.000000,3303.000000,0,0,0,0,3572.000000,0,0,0,55084135.000000
2022-11-01,63466832.000000,9693239.000000,18.000000,986.000000,5956.000000,0,0,0,0,2967.000000,0,0,0,73169998.000000
2022-12-01,66846315.000000,9216477.000000,0,284.000000,2730.000000,0,0,0,0,1890.000000,0,0,0,76067696.000000
2023-01-01,60147270.000000,10463958.000000,32.000000,259.000000,2515.000000,0,0,0,0,3000.000000,0,0,0,70617034.000000
