day,Unadjusted,Adjusted,total
2017-11-01,100000.000000,260.000000,100260.000000
2017-12-01,1877.000000,684.485843,2561.485843
2018-01-01,154323846.869011,52335345.866474,206659192.735485
2018-02-01,30470026.180444,58406927.054348,88876953.234792
2018-03-01,26843998.746484,51553651.455396,78397650.201880
2018-04-01,36502666.532850,71260810.043289,107763476.576139
2018-05-01,30211329.050149,54755271.463491,84966600.513640
2018-06-01,46536604.321001,67020068.925223,113556673.246224
2018-07-01,100532916.077979,58006762.294710,158539678.372690
2018-08-01,9976227.892007,38578532.091172,48554759.983179
2018-09-01,50467993.841687,67486090.696612,117954084.538299
2018-10-01,758052261.369112,433549521.365059,1191601782.734171
2018-11-01,856608069.794469,853267141.233506,1709875211.027974
2018-12-01,1188299618.457863,1260578814.220541,2448878432.678404
2019-01-01,2633879105.938591,1667273167.105700,4301152273.044291
2019-02-01,950154918.725265,832527846.519096,1782682765.244361
2019-03-01,447203302.276948,648764030.307500,1095967332.584448
2019-04-01,2714860910.051021,2611367594.287905,5326228504.338926
2019-05-01,3544379113.308396,3795661654.951361,7340040768.259757
2019-06-01,4381616317.492672,5235117374.830257,9616733692.322929
2019-07-01,13345060253.279491,15214528375.073935,28559588628.353424
2019-08-01,7138404051.593335,11818037799.918636,18956441851.511971
2019-09-01,9349492643.644278,13857702732.707584,23207195376.351860
2019-10-01,13999969507.367006,18018039266.377491,32018008773.744499
2019-11-01,12155098171.792747,17112365280.823471,29267463452.616219
2019-12-01,10574882034.696703,15060362080.041538,25635244114.738243
2020-01-01,10606383306.957970,14731485300.954737,25337868607.912704
2020-02-01,13343589354.925789,18136456792.436470,31480046147.362259
2020-03-01,22279717999.044510,26792458816.243568,49072176815.288078
2020-04-01,20177338056.168144,24737679455.054821,44915017511.222961
2020-05-01,24032695639.686920,30661683538.435169,54694379178.122086
2020-06-01,29303546228.204666,35594757385.443237,64898303613.647903
2020-07-01,46812483645.058449,46638708924.383904,93451192569.442352
2020-08-01,69457158756.168243,64110475514.718246,133567634270.886490
2020-09-01,112548155261.240250,86313203895.720306,198861359156.960571
2020-10-01,225768924285.979401,66397813559.248886,292166737845.228271
2020-11-01,237674824958.332458,78421992510.391403,316096817468.723877
2020-12-01,282456820977.843506,92384444849.261856,374841265827.105347
2021-01-01,738550688288.771484,159421993102.663696,897972681391.435181
2021-02-01,890865470725.313599,193762435588.121582,1084627906313.435181
2021-03-01,1358056143833.370117,217127619798.078583,1575183763631.448730
2021-04-01,3181007628788.975098,298569977540.896667,3479577606329.871582
2021-05-01,2400324779236.551758,458254339360.908081,2858579118597.459961
2021-06-01,1390675578994.343750,265704380244.600830,1656379959238.944580
2021-07-01,1124036561885.430664,226181529323.471802,1350218091208.902344
2021-08-01,1205620704607.643311,298527289175.412781,1504147993783.056152
2021-09-01,2087558648257.288330,321884088239.893738,2409442736497.182129
2021-10-01,16154535522041.222656,335535777647.026672,16490071299688.250000
2021-11-01,27556146286024.421875,399269416074.769104,27955415702099.191406
2021-12-01,31212999205760.289062,389978014939.733398,31602977220700.023438
2022-01-01,27547337317009.257812,318576735206.273926,27865914052215.531250
2022-02-01,21497940652470.843750,251077183895.125397,21749017836365.968750
2022-03-01,24291588730175.296875,323638660593.198975,24615227390768.496094
2022-04-01,4393988859441.297852,308119912592.377563,4702108772033.675781
2022-05-01,3442191241604.474609,468001179877.408569,3910192421481.883301
2022-06-01,3844939613900.230957,377843934631.395996,4222783548531.626953
2022-07-01,4063112946213.708984,303565464982.297241,4366678411196.006348
2022-08-01,3334218019367.397461,336915354385.139526,3671133373752.537109
2022-09-01,1435388775588.070312,313478346100.783386,1748867121688.853760
2022-10-01,837341776524.540527,299407276711.378906,1136749053235.919434
2022-11-01,889888021087.002930,469807968105.904236,1359695989192.907227
2022-12-01,609985841343.766113,395263771261.285767,1005249612605.051880
2023-01-01,573025120044.427246,403870692208.077026,976895812252.504272
2023-02-01,479475364886.787720,332708800662.822815,812184165549.610596
2023-03-01,706646619348.320557,478305690852.868896,1184952310201.189453
2023-04-01,393351269869.074280,312354112868.661621,705705382737.735840
2023-05-01,389356349472.493408,297199073414.398315,686555422886.891724
2023-06-01,424203726610.883301,351172054430.900269,775375781041.783569
2023-07-01,376339818406.133118,299533436561.090576,675873254967.223633
2023-08-01,411711328745.269165,315680443181.294922,727391771926.564087
2023-09-01,330700638541.239014,281494569743.062500,612195208284.301514
2023-10-01,407713480393.644165,315377348560.546448,723090828954.190674
2023-11-01,515592527751.162720,334943987341.686462,850536515092.849121
2023-12-01,754653771232.338623,368404162402.614258,1123057933634.952881
2024-01-01,1017635370457.983276,405913973572.818726,1423549344030.802002
2024-02-01,1417648708889.054932,368772386315.807129,1786421095204.862061
2024-03-01,2110229431647.459473,561036855108.185059,2671266286755.644531
2024-04-01,2130090752824.609863,522782158349.300659,2652872911173.910645
2024-05-01,2928854255726.820312,465124405036.339966,3393978660763.160156
2024-06-01,1447932508000.095703,437223587419.071045,1885156095419.166748
2024-07-01,894844406791.307739,478253188897.825317,1373097595689.133057
2024-08-01,893352948384.035400,514558041723.467651,1407910990107.502930
2024-09-01,1021492670659.268311,432525593625.443359,1454018264284.711670
2024-10-01,1519414199139.698242,506981664650.215698,2026395863789.914062
2024-11-01,2035269023611.386963,727180945449.553711,2762449969060.940430
2024-12-01,4197952636358.594727,768100163065.810913,4966052799424.405273
2025-01-01,4097950776823.336914,752492257724.630127,4850443034547.966797
2025-02-01,3169459058072.666992,748111327408.098145,3917570385480.765137
2025-03-01,1887304029499.077393,756872860708.256836,2644176890207.333984
2025-04-01,2113138572350.866211,796646468451.898804,2909785040802.765137
2025-05-01,2780376633172.052734,800822884027.689209,3581199517199.742188
2025-06-01,3061777125859.250000,830725171117.076660,3892502296976.326660
2025-07-01,3264915877941.881348,959899410706.727783,4224815288648.609375
2025-08-01,4037025084736.396484,965502321285.911377,5002527406022.307617
2025-09-01,4642733306134.321289,1004500979867.283325,5647234286001.604492
2025-10-01,5596307532793.218750,1502173619660.392578,7098481152453.611328
2025-11-01,4343932371141.785156,1161172286944.281250,5505104658086.066406
2025-12-01,5540858050051.249023,1032021198998.413086,6572879249049.662109
2026-01-01,8977785814152.412109,1147126784625.968262,10124912598778.380859
2026-02-01,6862336258475.880859,1785866352473.443359,8648202610949.324219
2026-03-01,8404572711913.303711,1467891363764.455078,9872464075677.757812
2026-04-01,7291222093376.829102,1249301236683.081543,8540523330059.910156
2026-05-01,22723072752774.082031,1113940525099.421387,23837013277873.503906
2026-06-01,463558046051.969971,159955416282.379211,623513462334.349121
