day,ethereum,tron,solana,bsc,base,arbitrum,polygon,avalanche,optimism,aptos,plasma,sui,ton,stellar,celo,hyperevm,worldchain,linea,stable,codex,total
2017-11-01,260.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.000000
2017-12-01,684.485843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684.485843
2018-01-01,52335345.866474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52335345.866474
2018-02-01,58406927.054348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58406927.054348
2018-03-01,51553651.455396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51553651.455396
2018-04-01,71260810.043289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71260810.043289
2018-05-01,54755271.463491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54755271.463491
2018-06-01,67020068.925223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67020068.925223
2018-07-01,58006762.294710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58006762.294710
2018-08-01,38578532.091172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38578532.091172
2018-09-01,67486090.696612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67486090.696612
2018-10-01,433549521.365059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433549521.365059
2018-11-01,853267141.233506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853267141.233506
2018-12-01,1260578814.220541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260578814.220541
2019-01-01,1667273167.105699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1667273167.105699
2019-02-01,832527846.519096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832527846.519096
2019-03-01,648764030.307500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648764030.307500
2019-04-01,2459168496.198044,152199098.089862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2611367594.287906
2019-05-01,3752012461.970214,43649192.981148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3795661654.951363
2019-06-01,5210739548.413184,24377826.417074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5235117374.830258
2019-07-01,10111338760.493242,5103189614.580696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15214528375.073938
2019-08-01,11803780620.300152,14257179.618484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11818037799.918636
2019-09-01,13837163866.740406,20538865.967178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13857702732.707584
