day,USDT,USDC,FDUSD,USDP,PYUSD,EURC,USDG,RLUSD,EURS,USDH,USDTB,MUSD,EURCV,total
2017-11-01,260.000000,0,0,0,0,0,0,0,0,0,0,0,0,260.000000
2017-12-01,684.485843,0,0,0,0,0,0,0,0,0,0,0,0,684.485843
2018-01-01,52335345.866474,0,0,0,0,0,0,0,0,0,0,0,0,52335345.866474
2018-02-01,58406927.054348,0,0,0,0,0,0,0,0,0,0,0,0,58406927.054348
2018-03-01,51553651.455396,0,0,0,0,0,0,0,0,0,0,0,0,51553651.455396
2018-04-01,71260810.043289,0,0,0,0,0,0,0,0,0,0,0,0,71260810.043289
2018-05-01,54755271.463491,0,0,0,0,0,0,0,0,0,0,0,0,54755271.463491
2018-06-01,66846645.477488,0,0,0,0,0,0,0,172342.008934,0,0,0,0,67018987.486422
2018-07-01,56410931.644517,0,0,0,0,0,0,0,1585879.324653,0,0,0,0,57996810.969170
2018-08-01,38299123.434722,0,0,0,0,0,0,0,277666.312111,0,0,0,0,38576789.746833
2018-09-01,35749122.926222,3223027.249536,0,27859903.815127,0,0,0,0,649958.245289,0,0,0,0,67482012.236173
2018-10-01,65205068.093941,136975119.979356,0,228906920.563220,0,0,0,0,2447057.546165,0,0,0,0,433534166.182682
2018-11-01,35762345.904514,251538952.871368,0,561663384.950205,0,0,0,0,4275628.122186,0,0,0,0,853240311.848274
2018-12-01,133131085.698809,521925752.337333,0,587753260.363574,0,0,0,0,17657913.164201,0,0,0,0,1260468011.563917
2019-01-01,29533959.615850,1280411132.598962,0,341908229.439437,0,0,0,0,15323689.946574,0,0,0,0,1667177011.600823
2019-02-01,61645868.531218,568361956.611902,0,197051527.122827,0,0,0,0,5434393.663264,0,0,0,0,832493745.929212
2019-03-01,166031246.605246,308793151.401157,0,170030518.828535,0,0,0,0,3884736.913098,0,0,0,0,648739653.748037
2019-04-01,1498680488.137175,722020593.597132,0,381264326.111055,0,0,0,0,9343556.024543,0,0,0,0,2611308963.869905
2019-05-01,2243609879.329966,908345402.739832,0,640083406.701290,0,0,0,0,3600373.986122,0,0,0,0,3795639062.757210
2019-06-01,3331079462.641347,1110577588.015914,0,788718513.526471,0,0,0,0,4712241.530663,0,0,0,0,5235087805.714396
2019-07-01,12895912708.725298,1512611314.010276,0,800995141.449526,0,0,0,0,4977834.846171,0,0,0,0,15214496999.031271
2019-08-01,9863296402.002491,1263207253.960652,0,685088590.371125,0,0,0,0,6405121.150653,0,0,0,0,11817997367.484919
