CHAIN,a. < $100,b. $100 - $1k,c. $1k - $10k,d. $10k - $100k,e. $100k - $1M,f. $1M - $10M,g. > $10M,total
solana,5592375927.000000,1667473968.000000,839187865.000000,438538012.000000,71629805.000000,6889704.000000,3507500.000000,8619602781.000000
bsc,4288260997.000000,1853489064.000000,1075343113.000000,57370195.000000,5162108.000000,1375499.000000,123342.000000,7281124318.000000
polygon,3374326667.000000,433986287.000000,116075663.000000,14675713.000000,2331790.000000,376090.000000,4298.000000,3941776508.000000
tron,1265519518.000000,1146771100.000000,767082065.000000,213259773.000000,35329687.000000,2469286.000000,96953.000000,3430528382.000000
celo,2475066964.000000,14986394.000000,1422700.000000,1022022.000000,96342.000000,1244.000000,82.000000,2492595748.000000
base,1115090052.000000,299132824.000000,133693659.000000,58243386.000000,50771120.000000,9213174.000000,131307.000000,1666275522.000000
arbitrum,562770724.000000,304179390.000000,171785009.000000,25831887.000000,3016173.000000,234047.000000,5543.000000,1067822773.000000
aptos,618736235.000000,231740694.000000,101408043.000000,4072471.000000,429850.000000,32938.000000,2864.000000,956423095.000000
ethereum,340178410.000000,234714005.000000,184019511.000000,75504247.000000,24956004.000000,4810741.000000,626912.000000,864809830.000000
optimism,359525120.000000,87578096.000000,70775645.000000,28645247.000000,4247081.000000,27938.000000,554.000000,550799681.000000
avalanche,327944794.000000,62072682.000000,43614315.000000,11829933.000000,2532173.000000,305720.000000,8250.000000,448307867.000000
stellar,260324782.000000,22513577.000000,3494037.000000,219665.000000,37917.000000,11301.000000,329.000000,286601608.000000
worldchain,154887506.000000,2372213.000000,400502.000000,108800.000000,6346.000000,896.000000,5.000000,157776268.000000
sui,78297673.000000,44960166.000000,13728715.000000,1321134.000000,191609.000000,11810.000000,817.000000,138511924.000000
ton,41391543.000000,16377472.000000,5257909.000000,752477.000000,66426.000000,8168.000000,854.000000,63854849.000000
plasma,17399633.000000,5305859.000000,2560385.000000,918188.000000,194660.000000,46460.000000,3689.000000,26428874.000000
linea,2521491.000000,1904862.000000,409664.000000,136668.000000,9986.000000,1329.000000,0,4984000.000000
hyperevm,2200088.000000,1552358.000000,305913.000000,61634.000000,11774.000000,954.000000,3.000000,4132724.000000
stable,158451.000000,13297.000000,19167.000000,6331.000000,2865.000000,223.000000,41.000000,200375.000000
codex,3912.000000,1556.000000,419.000000,146.000000,562.000000,1509.000000,20.000000,8124.000000
